weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[32],31,[],1984-10-30,1984-11-08,Oct 30-Nov 8,barry-manilow-radio-city-musi¢-hall-1984-10-30,1896635,,,,,10,"[35.0, 30.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
2,,"[43, 51]",2,[],1984-11-06,1984-11-11,Nov 6-11,tom-jones-fox-theater-1984-11-06,526614,,,37096,,5,"[17.9, 4.9]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
3,,[36],32,[],1984-10-17,1984-10-18,Oct 17-18,grateful-dead-byrne-meadowlands-arena-1984-10-17,501602,,,,,2,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
4,,[36],33,[],1984-10-20,1984-10-20,Oct 20,grateful-dead-carrier-dome-1984-10-20,395175,,,32000,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
5,,"[44, 47]",34,[],1984-11-05,1984-11-06,Nov 5-6,rush-the-spectrum-philadelphia-1984-11-05,376463,,,,,2,"[13.5, 11.5, 9.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
6,,[55],35,[],1984-09-05,1984-09-05,Sept 5,julio-iglesias-hartford-civic-center-1984-09-05,251670,,,13614,,,"[20.0, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
7,,[49],31,[],1984-11-09,1984-11-10,Nov 9-10,anne-murray-radio-city-musi¢-hall-1984-11-09,248183,,,,,2,"[22.5, 20.0, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
8,,[24],36,[],1984-10-31,1984-10-31,Oct 31,rod-stewart-the-forum-inglewood-1984-10-31,228977,,,,,1,"[15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
9,Budweiser Superfest,"[57, 53, 41, 50, 19]",37,[],1984-11-04,1984-11-04,Nov 4,budweiser-superfest-capital-centre-1984-11-04,201285,,,19018,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
10,,"[37, 33, 38]",38,[],1984-11-01,1984-11-01,Nov 1,kenny-rogers-univ-of-dayton-arena-1984-11-01,200208,,,13235,,,"[16.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
11,,"[54, 45]",32,[],1984-11-05,1984-11-05,Nov 5,ronnie-james-dio-byrne-meadowlands-arena-1984-11-05,184683,,,,,1,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
12,,[24],1,[],1984-11-10,1984-11-10,Nov 10,rod-stewart-oakland-coliseum-1984-11-10,178955,,,13500,,,"[15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
13,,[24],39,[],1984-11-04,1984-11-04,Nov 4,rod-stewart-san-diego-sports-arena-1984-11-04,162430,,,,,1,"[15.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
14,,"[3, 42]",40,[],1984-11-03,1984-11-03,Nov 3,chicago-hilton-coliseum-1984-11-03,159785,,,14866,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
15,,"[37, 33, 38]",41,[],1984-10-30,1984-10-30,Oct 30,kenny-rogers-athletic-&-convocation-center-1984-10-30,151252,,,11345,,,"[16.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
16,,"[37, 33, 38]",42,[],1984-10-31,1984-10-31,Oct 31,kenny-rogers-memorial-coliseum-1984-10-31,147822,,,,,1,"[16.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
17,,"[37, 33, 38]",43,[],1984-11-02,1984-11-02,Nov 2,kenny-rogers-rupp-arena-1984-11-02,147412,,,12656,,,"[16.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
18,,"[37, 33, 38]",44,[],1984-11-03,1984-11-03,Nov 3,kenny-rogers-middle-tennessee-state-univ-murphy-center-1984-11-03,145399,,,12088,,,"[16.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
19,,"[44, 47]",45,[],1984-11-07,1984-11-07,Nov 7,rush-providence-civic-center-1984-11-07,139875,,,12159,,,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
20,,"[2, 56]",46,[],1984-11-08,1984-11-08,Nov 8,rick-springfield-salt-palace-1984-11-08,130000,,,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
21,,"[21, 30]",47,[],1984-11-08,1984-11-08,Nov 8,billy-squier-fort-wayne-coliseum-1984-11-08,122237,,,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
22,,"[52, 35]",48,[],1984-10-29,1984-10-29,Oct 29,culture-club-san-antonio-convention-center-1984-10-29,118718,,,,,1,"[16.0, 15.0, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
23,,[2],49,[],1984-11-10,1984-11-10,Nov 10,rick-springfield-casper-events-center-1984-11-10,117500,,,,,1,[11.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
24,,"[21, 30]",50,[],1984-10-23,1984-10-23,Oct 23,billy-squier-municipal-auditorium-1984-10-23,116837,,,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
25,,"[31, 29]",51,[],1984-10-27,1984-10-27,Oct 27,sammy-hagar-rochester-ny-war-memorial-1984-10-27,115041,,,,,1,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
26,,"[3, 39]",52,[],1984-11-04,1984-11-04,Nov 4,chicago-jackson-miss-coliseum-1984-11-04,112737,,,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
27,,"[54, 45]",53,[],1984-11-10,1984-11-10,Nov 10,ronnie-james-dio-lakeland-civic-center-1984-11-10,110412,,,10000,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
28,,"[2, 56]",54,[],1984-11-09,1984-11-09,Nov 9,rick-springfield-univ-of-colorado-at-boulder-1984-11-09,110408,,,,,1,"[13.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
29,,[48],2,[],1984-11-03,1984-11-04,Nov 3-4,gallagher-fox-theater-1984-11-03,107511,,,,,2,"[12.5, 10.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
30,,"[40, 34]",55,[],1984-10-17,1984-10-19,Oct 17-19,lou-reed-beacon-theatre-1984-10-17,107241,,,,,3,"[15.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
31,,[46],56,[],1984-10-24,1984-10-24,Oct 24,crosby-stills-nash-rochester-war-memorial-1984-10-24,106165,,,10200,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
32,,"[21, 30]",41,[],1984-11-06,1984-11-06,Nov 6,billy-squier-athletic-&-convocation-center-1984-11-06,105903,,,9283,,,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
33,,"[21, 30]",57,[],1984-11-02,1984-11-02,Nov 2,billy-squier-knoxville-civic-center-1984-11-02,103066,,,8962,,,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
34,,"[2, 56]",54,[],1984-11-09,1984-11-09,Nov 9,rick-springfield-univ-of-colorado-at-boulder-1984-11-09,99062,,,,,1,"[13.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
35,Royal New York Doo Wopp Vol. 13,[],31,[],1984-10-13,1984-10-13,Oct 13,royal-new-york-doo-wopp-vol-13-radio-city-musi¢-hall-1984-10-13,98708,,,,,1,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
36,,"[3, 42]",58,[],1984-11-02,1984-11-02,Nov 2,chicago-ahearn-fieldhouse-1984-11-02,95720,,,,,1,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
37,,[48],59,[],1984-11-01,1984-11-02,Nov 1-2,gallagher-holiday-star-theatre-1984-11-01,94465,,,,,2,[14.95],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
38,,[46],60,[],1984-11-04,1984-11-04,Nov 4,crosby-stills-nash-memorial-1984-11-04,92989,,,,,,[14.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
39,,"[3, 42]",61,[],1984-11-07,1984-11-07,Nov 7,chicago-hearns-multi-purpose-building-columbia-1984-11-07,88802,,7091,8900,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
40,,"[3, 42]",62,[],1984-10-30,1984-10-30,Oct 30,chicago-utah-state-univ-spectrum-1984-10-30,88583,,,7000,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
