weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[117],257,[],1986-09-09,1986-09-10,Sept 9-10,neil-diamond-tacoma-dome-1986-09-09,744100,,44700,,,,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
2,,[325],289,[],1986-09-10,1986-09-14,Sept 10-14,frank-sinatra-chicago-theater-1986-09-10,569485,,17351,,,1,"[45.0, 35.0, 25.0, 150.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
3,,"[326, 303]",290,[],1986-08-15,1986-08-16,Aug 15-16,bob-seger-the-silver-popular-creek-music-theater-1986-08-15,596420,,45173,,,1,"[16.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
4,,[338],34,[],,,,elton-john-the-spectrum-philadelphia-None,562367,,34222,,,1,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
5,,[335],291,[],1986-09-12,1986-09-12,Sept 12,neil-diamond-bc-place-stadium-1986-09-12,484500,672900,26370,,,1,"[25.0, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
6,,[117],868,[],1986-09-13,1986-09-14,Sept 13-14,neil-diamond-memorial-coliseum-1986-09-13,419000,,25200,,,1,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
7,,"[269, 340]",293,[],1986-09-13,1986-09-13,Sept 13,whitney-houston-shoreline-amphitheater-1986-09-13,256782,,15211,,,1,"[18.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
8,,"[283, 270]",63,[],1986-09-11,1986-09-11,Sept 11,ac-joe-louis-arena-1986-09-11,246150,,16410,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
9,,"[322, 289]",178,[],1986-09-12,1986-09-12,Sept 12,38-special-meadowlands-arena-1986-09-12,209760,,14028,,,,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
10,,[269],215,[],1986-09-08,1986-09-08,Sept 8,whitney-houston-red-rocks-amphitheatre-1986-09-08,203854,,8950,,,1,"[24.2, 22.0, 19.8]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
11,,"[339, 324]",178,[],1986-09-13,1986-09-13,Sept 13,emerson-lake-powell-meadowlands-arena-1986-09-13,201248,,13440,,,,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
12,,"[27, 341, 317]",294,[],1986-08-15,1986-08-15,Aug 15,amy-grant-pacific-amphitheater-1986-08-15,183927,,11302,,,,"[16.5, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
13,,"[322, 289]",295,[],1986-09-13,1986-09-13,Sept 13,38-special-great-woods-center-1986-09-13,160628,,11342,,,,"[16.5, 14.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
14,,"[121, 327]",296,[],1986-09-13,1986-09-13,Sept 13,huey-lewis-the-news-pan-american-center-1986-09-13,159090,,10606,,,1,[5.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
15,,"[343, 330]",14,[],1986-09-06,1986-09-06,Sept 6,inx-irvine-meadows-amphitheatre-1986-09-06,154030,,9620,,,,"[17.5, 16.5, 11.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
16,,"[269, 340]",7,[],1986-09-14,1986-09-14,Sept 14,whitney-houston-concord-pavilion-1986-09-14,152458,,8333,,,1,"[22.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
17,Carefree Summer Fest,"[155, 321, 315]",65,[],1986-09-04,1986-09-04,Sept 4,carefree-summer-fest-thomas-&-mack-center-1986-09-04,151652,,9784,,,,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
18,,[49],869,[],1986-08-29,1986-08-30,Aug 29-30,anne-murray-warwick-music-theater-1986-08-29,150000,,6684,,,1,"[25.0, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
19,,"[45, 316, 319]",14,[],1986-09-13,1986-09-13,Sept 13,dokken-irvine-meadows-amphitheatre-1986-09-13,146023,,9533,,,,"[17.5, 16.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
20,,"[269, 340]",23,[],1986-09-12,1986-09-12,Sept 12,whitney-houston-cal-expo-amphitheatre-1986-09-12,144778,,8273,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
21,,[336],40,[],1986-09-06,1986-09-06,Sept 6,stevie-wonder-hilton-coliseum-1986-09-06,136623,,9013,,,,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
22,,"[121, 327]",271,[],1986-09-14,1986-09-14,Sept 14,huey-lewis-the-news-tingley-coliseum-1986-09-14,135145,,8770,,,1,"[17.5, 15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
23,,[328],298,[],1986-09-14,1986-09-14,Sept 14,torvill-dean-copps-coliseum-1986-09-14,132904,166130,8735,,,,"[19.5, 16.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
24,,"[333, 314]",24,[],1986-09-13,1986-09-13,Sept 13,ub40-greek-theatre-1986-09-13,131750,,8500,,,1,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
25,,"[331, 318]",14,[],1986-09-05,1986-09-05,Sept 5,psychedelic-furs-irvine-meadows-amphitheatre-1986-09-05,130405,,8047,,,,"[17.5, 16.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
26,,[102],36,[],1986-09-13,1986-09-13,Sept 13,oingo-boingo-the-forum-inglewood-1986-09-13,122903,,8271,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
27,,"[107, 313]",169,[],1986-09-13,1986-09-13,Sept 13,rodney-dangerfield-west-palm-beach-auditorium-1986-09-13,122290,,7056,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
28,,"[329, 312]",295,[],1986-09-14,1986-09-14,Sept 14,john-fogerty-great-woods-center-1986-09-14,120145,,7738,,,,"[17.5, 15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
29,,"[311, 337]",299,[],1986-09-12,1986-09-12,Sept 12,david-lee-roth-dane-county-expo-center-&-coliseum-1986-09-12,114273,,7159,,,,"[15.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
30,,[320],295,[],1986-08-12,1986-08-12,Aug 12,manhattan-transfer-great-woods-center-1986-08-12,113432,,6344,,,,"[17.5, 15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
31,,[49],242,[],1986-08-22,1986-08-22,Aug 22,anne-murray-riverband-music-theater-1986-08-22,113424,,7416,,,,"[16.0, 9.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
32,,[49],300,[],1986-08-26,1986-08-26,Aug 26,anne-murray-pine-knob-music-theater-1986-08-26,109925,,7330,,,,"[16.0, 11.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1986/09/BB-1986-09-27.pdf
