weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[169, 156]",844,[],1985-02-25,1985-03-03,Feb 25-March 3,johnny-maths-fox-theatre-1985-02-25,552165,,34821,,8,4,"[17.9, 4.9]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
2,,"[175, 160, 172]",28,[],1985-03-01,1985-03-01,March 1,luciano-pavarotti-lawior-events-center-1985-03-01,537295,,10707,,,1,"[175.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
3,,"[177, 159]",148,[],1985-02-28,1985-02-28,Feb 28,deep-purple-the-centrum-worcester-1985-02-28,401701,,30642,,,,[13.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
4,,"[107, 153]",31,[],1985-02-22,1985-02-23,Feb 22-23,rodney-dangerfield-radio-city-musi¢-hall-1985-02-22,340690,,17490,,,,"[20.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
5,,[36],149,[],1985-02-18,1985-02-20,Feb 18-20,grateful-dead-henry-j-kaiser-convention-center-1985-02-18,306135,,20409,,,3,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
6,,"[37, 110, 38]",150,[],1985-03-01,1985-03-01,March 1,kenny-rogers-freedom-hall-1985-03-01,243026,,14263,,,,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
7,,"[37, 110, 38]",123,[],1985-03-03,1985-03-03,March 3,kenny-rogers-charleston-civic-center-1985-03-03,230882,,13546,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
8,,"[3, 42]",151,[],1985-03-01,1985-03-01,March 1,chicago-the-omni-atlanta-1985-03-01,227491,,17037,,,1,"[15.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
9,,"[14, 127]",152,[],1985-02-24,1985-02-24,Feb 24,alabama-soulh-fla-fairgrounds-1985-02-24,225000,,15000,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
10,,"[37, 110, 38]",120,[],1985-03-02,1985-03-02,March 2,kenny-rogers-charlotte-coliseum-1985-03-02,204404,,12018,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
11,,"[89, 94]",120,[],1985-03-03,1985-03-03,March 3,reo-speedwagon-charlotte-coliseum-1985-03-03,169047,,12900,,,1,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
12,,"[3, 42]",19,[],1985-03-03,1985-03-03,March 3,chicago-mid-south-coliseum-1985-03-03,167591,,11171,,,1,"[14.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
13,,"[166, 147]",59,[],1985-02-24,1985-02-24,Feb 24-24,statler-brothers-holiday-star-theatre-1985-02-24,167050,,13296,,,2,[15.95],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
14,,"[148, 127]",153,[],1985-03-01,1985-03-01,March 1,alambam-lows-state-center-1985-03-01,161070,,10738,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
15,,[89],154,[],1985-03-01,1985-03-01,March 1,reo-speedwagon-greensboro-coliseum-1985-03-01,160285,,11873,,,1,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
16,,"[149, 42]",155,[],1985-03-02,1985-03-02,March 2,chicago-ufc-arena-1985-03-02,149609,,10674,,,1,"[14.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
17,,[167],156,[],1985-02-20,1985-02-20,Feb 20,daryl-hall-john-oates-jacksonville-coliseum-1985-02-20,144960,,9928,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
18,,"[14, 127]",157,[],1985-03-03,1985-03-03,March 3,alabama-assembly-hall-1985-03-03,144300,,9620,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
19,,"[167, 152]",106,[],1985-03-04,1985-03-04,March 4,daryl-hall-john-oates-new-haven-coliseum-1985-03-04,138833,,9365,,,,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
20,,"[14, 127]",158,[],1985-03-02,1985-03-02,March 2,alabama-southern-illinois-unw-carbondale-1985-03-02,136645,,9350,,,,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
21,,"[14, 127]",156,[],1985-02-22,1985-02-22,Feb 22,alabama-jacksonville-coliseum-1985-02-22,135720,,9088,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
22,,"[171, 174]",159,[],1985-02-23,1985-02-23,Feb 23,joan-rivers-fox-theatre-1985-02-23,135463,,7970,,,,"[17.75, 15.25]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
23,,"[89, 94]",160,[],1985-03-02,1985-03-02,March 2,reo-speedwagon-knoxville-civic-coliseum-1985-03-02,131125,,987,,,1,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
24,,"[3, 42]",17,[],1985-02-27,1985-02-27,Feb 27,chicago-barton-coliseum-1985-02-27,128952,,9552,,,1,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
25,,"[89, 94]",161,[],1985-02-19,1985-02-19,Feb 19,reo-speedwagon-rochester-community-war-memorial-1985-02-19,127500,,10200,,,1,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
26,,"[176, 173]",162,[],1985-02-23,1985-02-23,Feb 23,pointer-sisters-sunrise-musical-theatre-1985-02-23,126016,,7876,,,2,[16.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
27,,"[150, 125]",163,[],1985-03-03,1985-03-03,March 3,teena-marie-paramount-theater-1985-03-03,118185,,7757,,3,2,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
28,,"[14, 127]",53,[],1985-02-21,1985-02-21,Feb 21,alabama-lakeland-civic-center-1985-02-21,114073,,7357,,,1,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
29,,"[146, 163]",164,[],1985-02-26,1985-02-04,Feb 26 4,eddie-murphy-leon-county-civic-center-1985-02-26,109396,,7975,,,,[14.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/03/BB-1985-03-16.pdf
