weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[873, 872]",717,[],1989-12-03,1989-12-04,Dec 3-4,the-rolling-stones-skydome-toronto-canadian)-1989-12-03,3282757,,117446,,,,[32.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
2,,"[873, 872]",256,[],1989-12-09,1989-12-10,Dec 9-10,the-rolling-stones-pontiac-sverdome-1989-12-09,2956834,,100234,,,1,[31.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
3,,"[873, 872]",718,[],1989-12-06,1989-12-07,Dec 6-7,the-rolling-stones-hoosier-dome-1989-12-06,2533955,,89078,,,1,[28.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
4,,[412],492,[],1989-12-06,1989-12-06,Dec 6,billy-joel-centrum-in-worcester-worcester-1989-12-06,1621958,,72087,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
5,"Kerny & Christmas, Kenny Rogers Garth Brooks",[],254,[],1989-12-05,1989-12-11,Dec 5-11,kerny-christmas-kenny-rogers-garth-brooks-westbury-music-fair-1989-12-05,715641,,25830,,,1,[31.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
6,,"[930, 935]",439,[],1989-12-07,1989-12-10,Dec 7-10,the-magic-of-david-fox-theatre-1989-12-07,656160,,30753,,,1,"[22.5, 19.5, 17.0, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
7,,"[275, 942]",492,[],1989-12-15,1989-12-16,Dec 15-16,motley-crue-centrum-in-worcester-worcester-1989-12-15,521528,,26745,,,1,[19.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
8,,"[275, 942, 653]",178,[],1989-12-10,1989-12-10,Dec 10,motley-crue-meadowlands-arena-1989-12-10,373883,,19075,,,1,"[20.0, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
9,,"[941, 695]",719,[],1989-12-06,1989-12-08,Dec 6-8,andy-williams-christmas-o-keefe-center-1989-12-06,325273,,11505,,,,"[39.5, 32.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
10,,"[704, 940]",720,[],1989-12-14,1989-12-14,Dec 14,andrew-dice-clay-great-western-forum-inglewood-1989-12-14,319140,,14941,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
11,Earthquake Relief Benefit,[36],391,[],1989-12-06,1989-12-06,Dec 6,earthquake-relief-benefit-oakland-alameda-county-coliseum-1989-12-06,310280,,15515,,,1,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
12,,"[275, 942]",37,[],1989-12-05,1989-12-05,Dec 5,motley-crue-capital-centre-1989-12-05,300496,,16243,,,1,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
13,,[55],721,[],1989-12-08,1989-12-09,Dec 8-9,julio-iglesias-james-l-knight-center-1989-12-08,290272,,8742,,,,[36.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
14,,[32],439,[],1989-12-12,1989-12-13,Dec 12-13,barry-manilow-fox-theatre-1989-12-12,285058,,8771,,,,[32.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/01/BB-1990-01-06.pdf
