artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['PAUL'],"['March 31-', 'April']",,,,,,1.0,"['118,352 Bill Graham']",['30'],"['MeCARTHEY Memorial', 'Stadium', 'Univ. of', 'California', 'Berkeley', 'Berkeley, Calif']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
['GRATEFUL DEAD'],"['March 24', '6']",,,,,,1.0,"['48,993 Northeast']",['19.50'],"['Knickerbocker', 'Arena', 'Albany, N.Y. Cross Country', 'Concerts', 'Metropolitan', '-', 'Entertainment']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'BOBBY ROSS AVILA', 'PERFECT GENTLEMEN NJ']","['March 25-', '6']",,,,,,1.0,"['40,000 Metropolitan']",['21/19.50'],"['Meadowlands', 'Arena', 'East Rutherford,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['JANET JACKSON', 'CHUCKI BOOKER']",['March 22.'],,,,,,,"['W581 Dimensions', 'a2 $22.50 sellout Unlimited']",[],"['Capital Centre', 'Landover, Md.', 'Cellar Door Prods']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
['|” GRATEFUL DEAD'],"['March 21-', '2']",,,,,,,"['4,220 Concert Prods.']",['25.50'],"['Cops Coliseum', 'Hamilton,', 'Ontario Canadian) Donald K. Donald', 'Metropolitan', 'Entertainment']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['BENEFIT FOR MERCY', 'HOSPITAL:', 'FRANK SINATRA']",['March 24'],,,,,,,"['12,601 WBT Radio', '23,369']",['100/45/830'],"['Charlotte', 'Coliseum', 'Charlotte, N.C.', '|_Wza nme {']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['NEW KIDS ON THE BLOCK', 'SWEET SENSATION', 'PERFECT GENTLEMAN']","['March 15-', '16']",,,,,,1.0,"['36,000 Metropolitan', '(16TH) Coliseum']",['21/19.50'],"['Nassau', 'Veterans', 'Memorial', 'Uniondale, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['JANET JACKSON', 'CHUCKH BOOKER']","['March 26-', '27']",,,,,,1.0,"['77,600 AH. Enterprises']",['22.50'],"['Centrum in', 'Worcester', 'Worcester,', 'Mass.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
"['RUSH', 'MR BIG']","['March 30-', '31']",,,,,,1.0,"['26,125 Bill Graham']",['22/21/19.50'],"['Oakland-', 'Alameda County', 'Coliseum', 'Oaktand, Calif', '+ it']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
['| ERICCLAPTON'],['March 31'],446805.0,,19858.0,,,1.0,[''],['22.50'],"['Dean E. Smith', 'C&C Entertainment', 'Center', 'Univ. of North', 'Carolina,Chapel', 'Hil', 'Chape! Hill, N.C']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
