weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[36],37,[],1987-09-11,1987-09-13,Sept 11-13,grateful-dead-capital-centre-1987-09-11,920430,,52596,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
2,,"[269, 569]",479,[],1987-09-08,1987-09-09,Sept 8-9,whitney-houston-arena-madison-square-garden-center-1987-09-08,862000,,58800,,,1,"[25.0, 20.0, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
3,,[36],45,[],1987-09-07,1987-09-09,Sept 7-9,grateful-dead-providence-civic-center-1987-09-07,659324,,39959,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
4,,"[559, 555]",175,[],1987-09-10,1987-09-11,Sept 10-11,u2-nassau-coliseum-1987-09-10,648603,,34899,,,,[19.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
5,,"[557, 554]",256,[],1987-09-12,1987-09-12,Sept 12,david-bowie-pontiac-sverdome-1987-09-12,640120,,32006,,,,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
6,,[566],480,[],1987-09-09,1987-09-09,Sept 9,pink-floyd-stadium-lansdowne-park-1987-09-09,495099,,26062,,,,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
7,,"[552, 564]",14,[],1987-09-04,1987-09-05,Sept 4-5,heart-irvine-meadows-amphitheatre-1987-09-04,491457,,29797,,,1,"[18.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
8,,"[523, 527]",329,[],1987-09-11,1987-09-12,Sept 11-12,boston-civic-arena-1987-09-11,431351,,25643,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
9,Def Jam 87,"[572, 556, 563]",481,[],1987-09-04,1987-09-05,Sept 4-5,def-jam-87-the-spectrum-philadelphia-sellout-1987-09-04,409408,,5588,,,,[16.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
10,,"[121, 383, 23]",45,[],1987-08-23,1987-08-24,Aug 23-24,huey-lewis-the-news-providence-civic-center-1987-08-23,378560,,21632,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
11,,"[551, 553]",479,[],1987-08-24,1987-08-24,Aug 24,tina-turner-arena-madison-square-garden-center-1987-08-24,338789,,18000,,,1,"[20.0, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
12,,[559],34,[],1987-09-12,1987-09-12,Sept 12,u2-the-spectrum-philadelphia-1987-09-12,323509,,17622,,,1,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
