weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[950],728,[],1990-03-31,1990-03-01,March 31-1,paul-mccartney-memorial-stadium-1990-03-31,3550560,,118352,,,1,[30.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
2,,[36],729,[],1990-03-24,1990-03-26,March 24-26,grateful-dead-knickerbocker-arena-1990-03-24,921262,,48993,,,1,[19.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
3,,"[761, 884, 963, 955]",178,[],1990-03-25,1990-03-26,March 25-26,new-kids-on-the-block-meadowlands-arena-1990-03-25,794694,,40000,,,1,"[21.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
4,,"[946, 951]",37,[],1990-03-22,1990-03-29,March 22 29,janet-jackson-capital-centre-1990-03-22,765112,,34581,,,,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
5,,[36],298,[],1990-03-21,1990-03-22,March 21-22,grateful-dead-copps-coliseum-1990-03-21,743913,,34220,,,,[25.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
6,Benefit For Mercy Hospital,[325],120,[],1990-03-24,1990-03-24,March 24,benefit-for-mercy-hospital-charlotte-coliseum-1990-03-24,692961,,12601,,,,"[100.0, 45.0, 30.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
7,,"[761, 884, 959, 960]",258,[],1990-03-15,1990-03-16,March 15-16,new-kids-on-the-block-nassau-veterans-memorial-coliseum-1990-03-15,689913,,36000,,,1,"[21.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
8,,"[946, 951]",492,[],1990-03-26,1990-03-27,March 26-27,janet-jackson-centrum-in-worcester-worcester-1990-03-26,600458,,27600,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
9,,"[44, 949]",730,[],1990-03-30,1990-03-31,March 30-31,rush-oakland--alameda-county-coliseum-1990-03-30,509438,,26125,,,1,"[22.0, 21.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
10,,[945],731,[],1990-03-31,1990-03-31,March 31,ericclapton-dean-e-smith-center-1990-03-31,446805,,19858,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1990/04/BB-1990-04-14.pdf
