artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['WAYNE NEWTON', 'BILL THOMAS']","['March 23- 3435,694 21,174', '26']",,,,,,,"['Prods,', '24,100']",['37.50/32.50/'],"['Fox Theatre', 'Detroit, Mich.', 'a']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['BON IOV', 'SKID ROW']",['March 21'],396240,,19812,,,1,"['Brass Ring Prods,']",['20'],"['Joe Louis Arena', 'Detroit, Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['“BON JOVI', 'SKID ROW']",['March 24'],342440,,,,,1,"['Jam Prods,']",['20'],"['Rosemont', 'Horizon', 'Rosemont, lll.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['BOBBY BROWN', 'LEVERT', 'ROB BASE °']",['March 26'],222478,,123,,,,"['Al Haymon Prods.', '14,000']",['17.50'],"['Reunion Arena', 'Dallas, Texas', 'fF KARYN WHITE']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['GUY:', 'TONE LOC', 'H.C. HAMMER', 'TODAY NC.', 'DELASOU.']",['March 25'],183691,,11851,,,,"['Dimensions', '12,628 Unlimited']",['35.50'],"['Greensboro', 'Coliseum', 'Greensboro,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['REM.', 'ROBYN HITCHCOCK & THE', 'EGYPTIANS.']",['March 22'],176995,,10114,,,,"['462 Concerts', '14,00 ~']",[],"['Reunion Arena', 'Dallas, Texas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
['KENNY G'],"['March 24 3155,299 8,598']",,,,,,1,[''],['19.50/17.50'],"['Fox Theatre', 'St. Louis, Mo,', 'Litman']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['CINDERELLA', 'WINGER', 'BULLETBOYS.']","['March 25', '10,000']",154391,,9357,,,,['Mid-South'],[],"['Barton Coliseum', 'Ark, State sé', 'Fairgrounds', 'Liltle Rock, Ark.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['POISON', 'TESLA,']",['March 23'],150085,,9901,,,,"['Cellar Door Prods.', '13,800']",['16/15'],"['Norfolk Scope', 'Convention &', 'Cultural Center', 'Norfolk, Va.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
"['RANDY TRAVIS', 'KT.OSUN']",['March 24'],147857,,8961,,,1,['Special Moments'],['16.50'],"['Rockford', 'MetroCentre', 'Rockford, fl.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/04/BB-1989-04-08.pdf
