event_signature,issue_date,field,original_value,true_value,correction_reason
huey-lewis-&-the-news-thomas-&-mack-center-univ.-of-nevada-at-1987-01-11,1/24/1987,artists,"['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD']","['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD', 'COMBO']",
huey-lewis-&-the-news-thomas-&-mack-center-univ.-of-nevada-at-1987-01-11,1/24/1987,ticket_prices,[],['16.50'],
huey-lewis-&-the-news-mckale-center-univ.-of-arizona-1987-01-06,1/24/1987,ticket_prices,['16/815'],['16/15'],
cyndi-lauper-cumberland-county-civic-center-1986-12-17,1/24/1987,ticket_prices,[],['14'],
cyndi-lauper-music-hall-1987-01-08,1/24/1987,gross_receipts_us,37895,87895,
cyndi-lauper-lakeland-civic-center-1986-12-28,1/24/1987,ticket_sold,1252,7252,
cyndi-lauper-lakeland-civic-center-1986-12-28,1/24/1987,artists,"['CYNDI LAUPER', 'EDDIE MONEY', 'LL']","['CYNDI LAUPER', 'EDDIE MONEY']",
stryper-santa-monica-civic-auditorium-1987-01-03,1/24/1987,ticket_prices,[],['14'],
ready-for-the-world-civic-memorial-auditorium-1987-01-04,1/24/1987,artists,"['READY FOR THE WORLD', 'CHICO DEBARGE']","['READY FOR THE WORLD', 'CHICO DEBARGE', 'SIR-MIX-A-LOT']",
bob-seger-&-the-silver-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-01-10,1/31/1987,ticket_prices,['16/815'],['16/15'],
"huey-lewis-&-the-news-the-forum-inglewood,-1987-01-12",1/31/1987,ticket_prices,['18.50/817'],['18.50/17'],
"iron-maiden-the-spectrum-philadelphia,-1987-01-13",1/31/1987,ticket_prices,[],['15/13'],
"david-lee-roth-providence-civic-center,-ee-providence,-1987-01-16",1/31/1987,artists,['DAVID LEE ROTH'],"['DAVID LEE ROTH', 'TESLA']",
ratt-richfield-coliseum-1987-01-04,1/31/1987,ticket_prices,[],['15/14'],
bon-jovi-ei-paso-county-coliseum-1987-01-01,1/31/1987,location,"['Paso County Coliseum', 'Texas']","['El Paso County Coliseum', 'Texas']",
george-strait-hirsch-memorial-1987-01-16,1/31/1987,ticket_prices,[],['14'],
david-lee-roth-augusta-civic-center-1987-01-17,1/31/1987,ticket_prices,['15.50/514.50'],['15.50/14.50'],
"george-strait-the-celebrity-theatre,-minneapolis,-1987-01-09",1/31/1987,ticket_prices,['14.95/89'],['14.95/9'],
"run-d.m.c.-univ,-of-nevada-at-las-vegas-dee.-las-vegas,-None",1/31/1987,dates,['30'],['Dec. 30'],
cynd)-lauper-frank-erwin-center-univ.-of-texas-at-1987-01-10,1/31/1987,gross_receipts_us,,77935,
statler-bros.-cumberland-county-memorial-1987-01-17,1/31/1987,attendance,,5109,
bunny-wailer-james-l.-knight-international-center-1986-12-13,1/31/1987,ticket_prices,['25/820'],['25/20'],
michael-johnson-orchestra-hall-1986-12-26,1/31/1987,ticket_prices,['15.50/13.50/89'],['15.50/13.50/9'],
new-order-james-l.-knight-international-center-1986-12-15,1/31/1987,ticket_prices,[],['15'],
"marshall-tucker-bank-westport-playhouse-st.-louis,-ity-sellout-1986-12-27",1/31/1987,ticket_prices,[],['15'],
"commodores-the-celebrity-theatre,-minneapolis,-1987-01-02",1/31/1987,ticket_prices,['14.95/89'],['14.95/9'],
"robert-cray-starry-night-portland,-ore.-stilletto's-1987-01-10",1/31/1987,artists,"['ROBERT CRAY', 'CURTIS SALGADO & THE']","['ROBERT CRAY', ""CURTIS SALGADO & THE STILLETO'S""]",
"bad-brains-the-ritz-new-york,-scher-presents-1987-01-17",1/31/1987,ticket_prices,[],['12/10'],
robert-cray-band-erb-memorial-union-ballroom.-1987-01-11,1/31/1987,gross_receipts_us,,10770,
robert-cray-band-erb-memorial-union-ballroom.-1987-01-11,1/31/1987,attendance,,1350,
robert-cray-band-erb-memorial-union-ballroom.-1987-01-11,1/31/1987,ticket_prices,['8.50/57.50'],['8.50/7.50'],
david-copperfield-sunrise-musical-theatre-None,2/21/1987,attendance,,11777,
david-copperfield-sunrise-musical-theatre-None,2/21/1987,ticket_prices,[],['18'],
david-lee-roth-duluth-arena-1987-02-07,2/21/1987,ticket_prices,[],['15'],
david-lee-roth-duluth-arena-1987-02-07,2/21/1987,ticket_prices,[],['15'],
david-lee-roth-duluth-arena-1987-02-07,2/21/1987,ticket_prices,[],['15'],
david-lee-roth-brown-county-veterans-memorial-arena-door-prods.-1987-02-06,2/21/1987,ticket_prices,[],['15'],
david-lee-roth-saginaw-civic-center-1987-01-30,2/21/1987,ticket_prices,[],['15'],
conway-twitty-greenville-memorial-auditorium-1987-02-06,2/21/1987,gross_receipts_us,,78611,
conway-twitty-greenville-memorial-auditorium-1987-02-06,2/21/1987,attendance,,6171,
conway-twitty-greenville-memorial-auditorium-1987-02-06,2/21/1987,promoter,[''],['Varnell Enterprises'],
beach-boys-providence-civic-center-1987-02-05,2/21/1987,ticket_prices,[],['7.92'],
david-copperfield-lakeland-civic-center-None,2/21/1987,gross_receipts_us,,57340,
david-copperfield-lakeland-civic-center-None,2/21/1987,attendance,,3573,
hank-williams-jr.-barnhill-arena-None,2/21/1987,ticket_prices,[],['13.50'],
hank-williams-jr.-barnhill-arena-None,2/21/1987,ticket_prices,[],['16'],
pretenders-memphis-convention-center-complex-1987-01-24,2/21/1987,ticket_prices,['5.'],['15'],
"george-carlin-westport-playhouse-st.-louis,-1987-01-31",2/21/1987,ticket_prices,[],['16'],
lionel-richie-neal-s.-blaisdell-center-1987-02-19,3/7/1987,ticket_prices,[],['18.50'],
lionel-richie-neal-s.-blaisdell-center-1987-02-19,3/7/1987,attendance,235871,25871,
iron-maiden-oakland-alameda-county-coliseum-1987-02-21,3/7/1987,ticket_prices,,['18.50/16.50'],
bob-seger-&-the-silver-myriad-convention-center-1987-02-05,3/7/1987,ticket_prices,[],['16/15'],
bon-jovi-sportatorium-1987-02-14,3/7/1987,ticket_prices,[],['14'],
huey-lewis-&-the-news.-lee-civic-center-1987-01-31,3/7/1987,ticket_prices,[],['15'],
bon-jovi-lee-civic-center-1987-02-17,3/7/1987,ticket_prices,[],['15'],
bon-jovi-bayfront-center-1987-02-15,3/7/1987,ticket_prices,[],['15'],
hank-williams-jr.-richmond-coliseum-1987-02-13,3/7/1987,ticket_prices,[],['15'],
"genesis-orange-bowl-miami,-fla,-es-1987-03-01",3/14/1987,ticket_prices,[],['17.75'],
iron-maiden-long-beach-convention-&-entertainment-center-arena-1987-02-16,3/14/1987,attendance,3556,33956,
neil-diamond-pensacola-civic-center-1987-02-20,3/14/1987,ticket_prices,[],['17.50/15'],
"bon-jovi-barton-coliseum-arkansas-state-fairgrounds,-gs-sellout-1987-02-28",3/14/1987,ticket_prices,[],['15'],
david-copperfield-fox-theatre-1987-03-26,4/11/1987,attendance,2935,22995,
iron-maiden-the-meadowlands-arena-1987-03-28,4/11/1987,ticket_prices,[],['16.50/14.50'],
the-pretenders-cobo-arena-1987-03-27,4/11/1987,attendance,77,7117,
ratt-lc.-walker-arena-1987-03-29,4/11/1987,artists,"['RATT LC.', 'POISON']","['RATT', 'POISON']",
george-jones.-asheville-civic-center-1987-03-28,4/11/1987,ticket_prices,['4513'],['14/13'],
"the-jets-sam-houston-coliseum,-civic-center-complex-1987-03-14",4/11/1987,ticket_prices,['11.95/88.95'],['11.95/8.95'],
"conway-twitty-showcase-theatre,-jacksonville-veterans-memorial-coliseum-1987-03-26",4/11/1987,gross_receipts_us,87443,57443,
"beastie-boys-theatre,-atlanta-civic-center-murphy's-law-1987-03-06",4/11/1987,artists,"['BEASTIE BOYS', 'FISHBONE']","['BEASTIE BOYS', ""MURPHY'S LAW"", 'FISHBONE']",
"sam-kinison-westport-playhouse-st,-louis,-1987-03-07",4/11/1987,gross_receipts_us,85755,55755,
genesis-giants-stadium-1987-05-30,6/13/1987,attendance,7017,117017,
"genesis-rfk-stadium,-starplex-washington,-d.c-1987-05-26",6/13/1987,artists,"['GENESIS RFK', 'PAUL YOUNG']","['GENESIS', 'PAUL YOUNG']",
"genesis-rfk-stadium,-starplex-washington,-d.c-1987-05-26",6/13/1987,location,"['Stadium, Starplex', 'Washington, D.C']","['RFK Stadium, Starplex', 'Washington, D.C']",
"deep-purple-coliseum,-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-05-30",6/13/1987,ticket_prices,['16/515'],['16/15'],
beach-boys-oak-mountain-amphitheatre-1987-05-29,6/13/1987,gross_receipts_us,,81165,
beach-boys-oak-mountain-amphitheatre-1987-05-29,6/13/1987,attendance,,6344,
eddie-money-hult-center-1987-05-23,6/13/1987,ticket_prices,['16.50/815.50'],['16.50/15.50'],
"oingo-boingo-westport-playhouse-st.-louis,-1987-05-18",6/13/1987,attendance,1,737,
"10th-annual-texxas-world-_|-cotton-bow!-stadium,-texas-state-fair-coliseum-&-catton-bowi-stadium-1987-06-20",7/4/1987,attendance,30929,80929,
"10th-annual-texxas-world-_|-cotton-bow!-stadium,-texas-state-fair-coliseum-&-catton-bowi-stadium-1987-06-20",7/4/1987,ticket_prices,['25/822'],['25/22'],
"bryan-adams-arena,-madison-square-garden-center-1987-06-18",7/4/1987,attendance,,34764,
grateful-dead-greek-theatre-univ.-of-1987-06-19,7/4/1987,ticket_prices,[],['17.50'],
bon-jovi-]-menichots-sports-arena-1987-06-14,7/4/1987,ticket_prices,"[517.05, 15.95, 14.85]",['17.05/15.95/14.85'],
"paul-simon-the-spectrum-philadelphia,-1987-06-17",7/4/1987,attendance,2332,23328,
"paul-simon-the-spectrum-philadelphia,-1987-06-17",7/4/1987,ticket_prices,"[20.0, 815.0]",['20/15'],
johnny-mathis-fox-theatre-1987-06-10,7/4/1987,ticket_prices,"[26.9, 821.9, 518.9, 15.9]","['26.90/21.90/18.90/', '15.90']",
"bryan-adams-the-centrum-in-worcester-tune-worcester,-None",7/4/1987,gross_receipts_us,,351143,
"bryan-adams-the-centrum-in-worcester-tune-worcester,-None",7/4/1987,dates,['1314'],['June 13-14'],
"bryan-adams-the-centrum-in-worcester-tune-worcester,-None",7/4/1987,attendance,,20888,
"bryan-adams-the-centrum-in-worcester-tune-worcester,-None",7/4/1987,ticket_prices,['17.50/815'],['17.50/15'],
"bon-jovi-kemper-arena,-american-royal-center-west-presentations-1987-06-04",7/4/1987,gross_receipts_us,,249349,
"bon-jovi-kemper-arena,-american-royal-center-west-presentations-1987-06-04",7/4/1987,attendance,,16417,
"motley-crue-coliseum,-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-06-20",7/4/1987,ticket_prices,[],['16/15'],
kenny-rogers-warwick-musical-theatre-1987-06-13,7/4/1987,ticket_prices,[],['30/25'],
run-d.m.c.-san-diego-sports-arena-dune-None,7/4/1987,ticket_prices,[],['16'],
stevie-ray-vaughan-red-rocks-amphitheatre-1987-06-17,7/4/1987,ticket_prices,['17.60/816.60'],['17.60/16.60'],
"duran-duran-the-centrum-in-worcester-worcester,-1987-06-18",7/4/1987,gross_receipts_us,,150115,
"duran-duran-the-centrum-in-worcester-worcester,-1987-06-18",7/4/1987,attendance,,8798,
"duran-duran-the-centrum-in-worcester-worcester,-1987-06-18",7/4/1987,ticket_prices,,['17.50'],
the-bangles-jones-beach-theatre-1987-06-13,7/4/1987,gross_receipts_us,,147450,
the-bangles-jones-beach-theatre-1987-06-13,7/4/1987,attendance,,8500,
charles-aznavour-&-pia-radio-city-music-hall-1987-06-10,7/4/1987,gross_receipts_us,,139575,
charles-aznavour-&-pia-radio-city-music-hall-1987-06-10,7/4/1987,attendance,,5108,
pimpinela-radio-city-music-hall-1987-05-29,7/4/1987,ticket_prices,,['25/20'],
the-pointer-sisters-jones-beach-theatre-1987-06-20,7/4/1987,ticket_prices,[],['18.50'],
one-for-the-sun:-starwood-amphitheatre-1987-06-20,7/4/1987,ticket_prices,[],['12/10'],
"psychedelic-furs-the-centrum-in-worcester-worcester,---+:-1987-06-12",7/4/1987,attendance,,6628,
"psychedelic-furs-the-centrum-in-worcester-worcester,---+:-1987-06-12",7/4/1987,ticket_prices,['15/513.50'],['15/13.50'],
"tom-petty-&-the-arena,-omaha-civic-auditorium-None",7/4/1987,attendance,,6376,
"tom-petty-&-the-arena,-omaha-civic-auditorium-None",7/4/1987,ticket_prices,[],['15'],
u2-nassau-coliseum-1987-09-10,9/26/1987,gross_receipts_us,,648603,
u2-nassau-coliseum-1987-09-10,9/26/1987,attendance,,34899,
u2-nassau-coliseum-1987-09-10,9/26/1987,ticket_prices,[],['19'],
heart-irvine-meadows-amphitheatre-1987-09-04,9/26/1987,gross_receipts_us,,491457,
heart-irvine-meadows-amphitheatre-1987-09-04,9/26/1987,attendance,,29797,
boston-civic-arena-1987-09-11,9/26/1987,attendance,,25643,
whitney-houston-providence-civic-center-1987-09-05,9/26/1987,ticket_prices,[],['18.50/16.50'],
"heart-the-summit-houston,-1987-09-13",9/26/1987,ticket_prices,[],['17.50'],
anita-baker-irvine-meadows-amphitheatre-1987-09-13,9/26/1987,attendance,,10418,
hank-williams-jr.-&-the-bama-|-ovens-coliseum-1987-09-12,9/26/1987,ticket_prices,[],['15'],
motley-crue-huntington-civic-center-1987-09-09,9/26/1987,gross_receipts_us,,162270,
motley-crue-huntington-civic-center-1987-09-09,9/26/1987,attendance,,10818,
motley-crue-huntington-civic-center-1987-09-09,9/26/1987,ticket_prices,[],['15'],
"the-cult-long-beach-arena,-long-beach-convention-&-entertainment-sellout-center-None",9/26/1987,gross_receipts_us,,160479,
"the-cult-long-beach-arena,-long-beach-convention-&-entertainment-sellout-center-None",9/26/1987,ticket_prices,,['16.50'],
anne-murray-great-woods-center-1987-08-30,9/26/1987,attendance,,8241,
"tina-turner-grandstand,-new-york-state-fair-1987-09-01",9/26/1987,attendance,,8943,
"randy-travis.-northern-jubilee-edmonton,-alta.,-canada-1987-09-08",9/26/1987,gross_receipts_us,,131184,
"randy-travis.-northern-jubilee-edmonton,-alta.,-canada-1987-09-08",9/26/1987,attendance,,9900,
luciano-pavarotti-hartford-civic-center-1988-01-10,2/20/1988,gross_receipts_us,,621955,
luciano-pavarotti-hartford-civic-center-1988-01-10,2/20/1988,attendance,,14415,
"whitesnake-centrum-in-worcester-worcester,-mass,-1988-01-28",2/20/1988,gross_receipts_us,,407618,
"whitesnake-centrum-in-worcester-worcester,-mass,-1988-01-28",2/20/1988,attendance,,24403,
"sting-spectrum-philadetphia,-1988-02-02",2/20/1988,attendance,,15451,
"oingo-boingo-hollywood-palladium-hollywood,-1988-01-29",2/20/1988,ticket_prices,[],['15'],
"the-cheap-vacation-tour:-centrum-in-worcester-worcester,-1988-01-30",2/20/1988,ticket_prices,[],['19.75'],
"rush-frank-erwin-center-univ.-of-texas,-1988-01-30",2/20/1988,ticket_prices,[],['17.50/15.50'],
oef-leppard-von-braun-civic-center-1988-02-06,2/20/1988,ticket_prices,[],['16'],
whitesnake-cumberland-county-civic-center-1988-01-24,2/20/1988,ticket_prices,[],['22.50'],
"john-cougar-mellencamp-rupp-arena,-lexington-center-mavch-None",3/26/1988,dates,[],['March 11'],
whitesnake-charlotte-coliseum-1988-03-01,3/26/1988,gross_receipts_us,,206366,
whitesnake-charlotte-coliseum-1988-03-01,3/26/1988,attendance,,12507,
"john-cougar-mellencamp-arena,-omaha-civic-auditorium-1988-02-13",3/26/1988,ticket_prices,[],['17'],
whitesnake-von-braun-civic-center-1988-03-09,3/26/1988,ticket_prices,,['16'],
"inxs-vic-pavillion-univer.-of-tllinois,-chicago-chicago,-None",3/26/1988,dates,['March'],['March 11'],
"inxs-vic-pavillion-univer.-of-tllinois,-chicago-chicago,-None",3/26/1988,gross_receipts_us,,159374,
"inxs-vic-pavillion-univer.-of-tllinois,-chicago-chicago,-None",3/26/1988,attendance,,9659,
"john-cougar-mellencamp-stokley-athletic-center-univer.-of-tennessee,-1988-03-08",3/26/1988,ticket_prices,[],['16.50'],
frank-sinatra/dean-chicago-theatre-1988-03-18,4/2/1988,artists,['FRANK SINATRA/DEAN'],"['FRANK SINATRA/DEAN', 'MARTIN/SAMMY DAVIS JR.']",
frank-sinatra/dean-chicago-theatre-1988-03-18,4/2/1988,gross_receipts_us,,923600,
frank-sinatra/dean-chicago-theatre-1988-03-18,4/2/1988,attendance,,10200,
frank-sinatra/dean-chicago-theatre-1988-03-18,4/2/1988,ticket_prices,,['100/75/50/25'],
"bruce-springsteen-&-thee-|-rosemont-horizon-rosemont,-ti-sellout-1988-03-16",4/2/1988,gross_receipts_us,,801720,
"bruce-springsteen-&-thee-|-rosemont-horizon-rosemont,-ti-sellout-1988-03-16",4/2/1988,attendance,,35632,
frank-sinatra/sammy-davis-|-oakland-alameda-county-jr./dean-martin-coliseum-1988-03-13,4/2/1988,artists,['FRANK SINATRA/SAMMY DAVIS |'],"['FRANK SINATRA/SAMMY DAVIS', 'JR./DEAN MARTIN]",
"frank-sinatra/dean-coliseum,-seattle-center-martin/sammy-davis-jr.-1988-03-16",4/2/1988,artists,['FRANK SINATRA/DEAN'],"['FRANK SINATRA/DEAN', 'MARTIN/SAMMY DAVIS JR.']",
"inxs-radio-city-music-hal-ph-_|-new-york,-n.y.-1988-03-18",4/2/1988,gross_receipts_us,,345600,
"inxs-radio-city-music-hal-ph-_|-new-york,-n.y.-1988-03-18",4/2/1988,attendance,,17622,
george-thorogood-&-the-patriot-center-None,4/2/1988,gross_receipts_us,,277821,
george-thorogood-&-the-patriot-center-None,4/2/1988,attendance,,16000,
"john-cougar-mellencamp-the-summit-houston,-_-_ii-1988-03-06",4/2/1988,ticket_prices,[],['17.50'],
"sting-the-summit-match-houston,-_-None",4/2/1988,ticket_prices,['1675'],['16.75'],
"dio-featuring-ronnie-james--|-arena,-long-beach-convention-&-©-entertainment-center-1988-03-12",4/2/1988,gross_receipts_us,,173110,
"dio-featuring-ronnie-james--|-arena,-long-beach-convention-&-©-entertainment-center-1988-03-12",4/2/1988,attendance,,10485,
frankie-valli-&-the-four-westbury-music-fair-1988-03-18,4/2/1988,gross_receipts_us,,159090,
frankie-valli-&-the-four-westbury-music-fair-1988-03-18,4/2/1988,attendance,,8453,
george-strait-selland-arena-1988-03-12,4/2/1988,ticket_prices,[],['16'],
whitesnake-special-events-center-1988-03-20,4/2/1988,attendance,,9286,
sting-university-activity-center-arizona-state-univ.-1988-03-18,4/2/1988,gross_receipts_us,,140175,
sting-university-activity-center-arizona-state-univ.-1988-03-18,4/2/1988,attendance,,8491,
sting-university-activity-center-arizona-state-univ.-1988-03-18,4/2/1988,ticket_prices,[],['17.50'],
"agreat-night-for-the-irish:-|-radio-city-music-hal-new-york,-1988-03-16",4/2/1988,gross_receipts_us,,137700,
"agreat-night-for-the-irish:-|-radio-city-music-hal-new-york,-1988-03-16",4/2/1988,attendance,,5874,
"agreat-night-for-the-irish:-|-radio-city-music-hal-new-york,-1988-03-16",4/2/1988,ticket_prices,['25/820'],['25/20'],
hank-williams-jr.-&-the-bama-|-roberts-municipal-stadium-None,4/2/1988,ticket_prices,['1550'],['15.50'],
"sandi-patti-arena,-memorial-coliseum-1988-03-17",4/2/1988,ticket_prices,[],['12.50/11.50'],
yes-san-diego-sports-arena-1988-03-08,4/2/1988,gross_receipts_us,,105728,
yes-san-diego-sports-arena-1988-03-08,4/2/1988,attendance,,5715,
yes-san-diego-sports-arena-1988-03-08,4/2/1988,ticket_prices,[],['18.50'],
david-lee-roth-ohio-center-1988-03-20,4/2/1988,gross_receipts_us,,105270,
david-lee-roth-ohio-center-1988-03-20,4/2/1988,attendance,,6380,
david-lee-roth-ohio-center-1988-03-20,4/2/1988,ticket_prices,[],['16.50'],
randy-travis/judds-lee-civic-center-match-None,4/2/1988,gross_receipts_us,,100305,
randy-travis/judds-lee-civic-center-match-None,4/2/1988,attendance,,6687,
randy-travis/judds-lee-civic-center-match-None,4/2/1988,ticket_prices,[],['15'],
"randy-travis/judds,-albany-civic-center-1988-03-19",4/2/1988,gross_receipts_us,,99611,
"randy-travis/judds,-albany-civic-center-1988-03-19",4/2/1988,attendance,,6037,
"randy-travis/judds,-albany-civic-center-1988-03-19",4/2/1988,ticket_prices,,['16.50'],
alarm-ivine-meadows-amphitheatre-1988-03-19,4/2/1988,gross_receipts_us,,90169,
alarm-ivine-meadows-amphitheatre-1988-03-19,4/2/1988,attendance,,5835,
alarm-ivine-meadows-amphitheatre-1988-03-19,4/2/1988,ticket_prices,['18.50/416.50'],['18.50/16.50'],
george-thorogood-&-the-stabler-arena-lehigh-univ-____|-1988-03-17,4/2/1988,ticket_prices,['15.50/813.50'],['15.50/13.50'],
frank-zappa-royal-oak-music-theater-None,4/2/1988,ticket_prices,[],['17'],
dio-featuring-ronnie-james-|-san-diego-sports-arena-1988-03-07,4/2/1988,attendance,,4264,
"dio-featuring-ronnie-james-|-arena,-henry-j.-kaiser-convention-center-1988-03-10",4/2/1988,ticket_prices,['19.50/317.50'],['19.50/17.50'],
"reba-mcentire-}-arena,-amarillo-civic-center-1988-03-13",4/2/1988,ticket_prices,[],['14.50'],
statler-brothers-von-braun-civic-center-_holly-dunn-None,4/2/1988,ticket_prices,['4'],['14'],
van-halen's-monsters-of-los-angeles-duly-cohseum-None,8/13/1988,dates,['24'],['July 24'],
aerosmeth-poplar-creek-music-theatre-1988-07-17,8/13/1988,attendance,3674,23674,
aerosmeth-poplar-creek-music-theatre-1988-07-17,8/13/1988,ticket_prices,[],['20/15'],
aerosmith-richfield-(guns-n'-roses-coliseum-1988-07-19,8/13/1988,artists,['AEROSMITH'],"['AEROSMITH', ""GUNS N' ROSES""]",
aerosmith-richfield-(guns-n'-roses-coliseum-1988-07-19,8/13/1988,location,"['Richfield', ""(GUNS N' ROSES Coliseum"", 'Richfield, Ohio']","['Richfield', ""Coliseum"", 'Richfield, Ohio']",
def-leppard-indiana-state-fairgrounds.-indianapolis.-1988-07-18,8/13/1988,ticket_prices,[],['20/17'],
budweiser-superfest:-greensboro-coliseum-1988-07-15,8/13/1988,attendance,1497,11497,
beach-boys-mackay-stadium-1988-07-15,8/13/1988,artists,"['BEACH BOYS', 'AMERICA']","['BEACH BOYS', 'THREE DOG NIGHT', 'AMERICA']",
aeroshath-starplex-wr-roses:-amphitheatre-1988-07-24,8/13/1988,artists,"['AEROSHATH', 'GRINS']","['AEROSHATH', ""GUNS N' ROSES""]",
"alabama-sussex-county-fairgrounds.-augusta,-condit-charities-1988-07-08",8/13/1988,artists,"['ALABAMA', 'AT.OSUN', 'ASLEEP AT THE WHEEL']","['ALABAMA', 'AT.OSUN', 'ASLEEP AT THE WHEEL', 'JAMES BEAM']",
robert-plant-greensboro-duly-coliseum-None,8/13/1988,dates,['19'],['July 19'],
steve-winwood-cal-expo-amphitheatre-1988-07-23,8/13/1988,ticket_prices,[],['17.50'],
roo-stewart-keifer-uno-lakefront-arena-1988-07-20,8/13/1988,ticket_prices,[],['16.50'],
inks.-meadowlands-arena-None,9/10/1988,artists,"['INKS.', 'DGGY MARLEY & THE', 'MELODY MAKERS.', 'NJ.']","['INXS', 'DGGY MARLEY & THE', 'MELODY MAKERS.', 'NJ.']",
inks.-meadowlands-arena-None,9/10/1988,gross_receipts_us,,314760,
inks.-meadowlands-arena-None,9/10/1988,attendance,,17274,
inks.-meadowlands-arena-None,9/10/1988,ticket_prices,['18.50/917.50'],['18.50/17.50'],
inks.-meadowlands-arena-None,9/10/1988,dates,['Aug.'],['Aug. 11'],
alidg-birmingham--jefferson-civic-center-1988-08-20,9/10/1988,artists,"['ALIDG', 'WHITE LION']","['AC/DC', 'WHITE LION']",
alidg-birmingham--jefferson-civic-center-1988-08-20,9/10/1988,attendance,,264083,
aidc-charlotte-coliseum-1988-08-25,9/10/1988,artists,"['AIDC', 'WHITE UON']","['AC/DC', 'WHITE UON']",
"rod-stewart-coliseum,-pacific-nationa)-exhibition-park-1988-08-20",9/10/1988,attendance,2,12444,
bryan-ferry-exhibition-stadium-1988-08-17,9/10/1988,attendance,,14000,
acide-greensboro-coliseum-1988-08-27,9/10/1988,artists,"['ACIDE', 'WHITE LION', 'N.C.']","['AC/DC', 'WHITE LION', 'N.C.']",
neil-young-exhibition-stadium-1988-08-18,9/10/1988,attendance,,12000,
inks-cincinnati-riverfront-coliseum-1988-08-28,9/10/1988,artists,"['INKS', 'DOGGY MARLEY & THE', 'MELODY MAKERS']","['INXS', 'DOGGY MARLEY & THE', 'MELODY MAKERS']",
inks-cincinnati-riverfront-coliseum-1988-08-28,9/10/1988,attendance,,11825,
inks-cincinnati-riverfront-coliseum-1988-08-28,9/10/1988,ticket_prices,['7'],['17'],
jimmy-buffett-&-the-seattle-center-arena-1988-08-13,9/10/1988,gross_receipts_us,,180523,
jimmy-buffett-&-the-seattle-center-arena-1988-08-13,9/10/1988,attendance,,10224,
mi-municipal-auditorium-1988-08-21,9/10/1988,artists,"['MI', 'WHITE LION']","['AC/DC', 'WHITE LION']",
"elton-john-miami-arena,-miami,-1988-09-09",10/1/1988,attendance,3913,25913,
"kenny-rogers:-valley-forge-music-fair,-sellouts-1988-09-09",10/1/1988,ticket_prices,[],['30'],
"george-michael-alpine-valley-music-theatre,-east-troy,-group-1988-09-09",10/1/1988,attendance,2302,20302,
"acide-.-alpine-valley-music-theatre,-fast-troy,-group-1988-09-10",10/1/1988,artists,"['ACIDE .', 'WHITE LIOR']","['AC/DC', 'WHITE LIOR']",
"the-grateful-dead-madison-square-garden-entertainment-new-york,-john-scher-=-presents-None",10/8/1988,dates,"['Sept. 14.', '16, 18-20,']","['Sept. 14-', '16, 18-20,', '22-23']",
"def-leppard-meadowlands-east-rutherford,-bureau-john-scher-presents-1988-09-21",10/8/1988,ticket_prices,['1850/817.50'],['18.50/17.50'],
george-michael-tacoma-dome-None,10/8/1988,dates,['Sept. 22-'],"['Sept. 22-', '23']",
george-michael-tacoma-dome-None,10/8/1988,gross_receipts_us,,891900,
george-michael-tacoma-dome-None,10/8/1988,attendance,,45240,
"prince,-rosemont-horizon,-il-_-sellout-ee-1988-09-17",10/8/1988,gross_receipts_us,836815,886815,
"benefit-for-the-rain-madison-square-garden-new-york,-n.y.-bureau-john-schet-presents-1988-09-24",10/8/1988,ticket_prices,['250/550/825'],['250/50/25'],
aerosmith-pacific-amphitheatre-1988-09-01,10/8/1988,gross_receipts_us,,670030,
aerosmith-pacific-amphitheatre-1988-09-01,10/8/1988,attendance,,37528,
"george-michael-|-fiddler's-green-|_deok-estus-|_-denver,-None",10/8/1988,dates,"['Sept. 17-', '1B']","['Sept. 17-', '18']",
randy-travis/the-judds-|-universal-amphitheatre-1988-09-02,10/8/1988,gross_receipts_us,,461225,
randy-travis/the-judds-|-universal-amphitheatre-1988-09-02,10/8/1988,attendance,,23213,
randy-travis/the-judds-|-universal-amphitheatre-1988-09-02,10/8/1988,dates,"['Sept. 21-', '4', '7']","['Sept. 21-', '24']",
sade-mann-music-center-None,10/8/1988,gross_receipts_us,,285225,
sade-mann-music-center-None,10/8/1988,attendance,,23213,
sade-mann-music-center-None,10/8/1988,ticket_prices,"['30/325/', '14.50/312.50']","['30/25/', '14.50/12.50']",
sade-mann-music-center-None,10/8/1988,dates,['Sept. 17-'],"['Sept. 17-', '18']",
randy-travis/the-ud-|-concord-pavilion-1988-09-18,10/8/1988,artists,['RANDY TRAVIS/THE UD |'],['RANDY TRAVIS/THE JUDDS'],
randy-travis/the-ud-|-concord-pavilion-1988-09-18,10/8/1988,ticket_prices,"['20,50/516.50']","['20,50/16.50']",
"rod-stewart-boston-garden-mass,-1988-09-24",10/8/1988,attendance,1440,14140,
"rod-stewart-boston-garden-mass,-1988-09-24",10/8/1988,ticket_prices,['18.50/916'],['18.50/16'],
"oo-stewart-providence-civic-center,-&-_|-1988-09-23",10/8/1988,ticket_prices,[],['17.50'],
