event_signature,issue_date,field,original_value,true_value,correction_reason
rick-springfield-reunion-arena-None,12/1/1984,dates,['15'],['Nov. 15'],
swatch-watch:-new-york-baltimore-civic-center-1984-11-09,12/1/1984,ticket_prices,[],['11'],
reo-speedwagon-omaha-civic-auditorium-1984-11-18,12/1/1984,attendance,,10000,
oak-ridge-boys-boise-state-univ.-pavilion-1984-11-03,12/1/1984,attendance,,8621,
"culture-club-univ,-of-tennessee-at-chattanooga-arena-1984-11-03",12/1/1984,gross_receipts_us,,89704,
"culture-club-univ,-of-tennessee-at-chattanooga-arena-1984-11-03",12/1/1984,attendance,,5867,
menudo-james-l.-knight-international-center-1984-11-10,12/1/1984,attendance,,4391,
"kiss-stabler-arena,-lehigh-unv.-1984-11-15",12/1/1984,ticket_prices,['1'],['11'],
george-strait-civic-auditorium-1984-11-16,12/1/1984,attendance,,3200,
neil-diamond-market-square-arena-1984-12-20,1/19/1985,ticket_prices,[],['17/15'],
neil-diamond-houston-summit-1984-12-10,1/19/1985,ticket_prices,,['17/15'],
huey-lewis-&-the-news-oakland-(calif.)-colseum-None,1/19/1985,dates,['31'],['Dec. 31'],
neil-diamond-oral-roberts-un.-dee.-tulsa-None,1/19/1985,dates,['17'],['Dec. 17'],
kenny-rogers-selland-arena-1985-01-20,2/9/1985,gross_receipts_us,,381341,
kenny-rogers-selland-arena-1985-01-20,2/9/1985,attendance,,22130,
"oak-ridge-boys:-carlton-west-green-bay,-1985-01-10",2/9/1985,ticket_prices,['36/330'],['36/33'],
alabama-jan.-est-seitout-None,2/9/1985,dates,['26'],['Jan. 26'],
alabama-jan.-est-seitout-None,2/9/1985,ticket_prices,[],['15'],
alabama-jan.-est-seitout-None,2/9/1985,location,"['Jan.', 'Est seitout']",[''],
bill-cosby-mid-hudson-civic-center-1985-01-18,2/9/1985,location,"['Mid-Hudson Civic Center', 'Poughkeepsie, N.Y.', 'Donald/', 'Harvey & Corky']","['Mid-Hudson Civic Center', 'Poughkeepsie, N.Y.']",
iron-maiden-ohio-center-None,2/9/1985,dates,['Jan.'],['Jan. 5'],
iron-maiden-ohio-center-None,2/9/1985,gross_receipts_us,,66688,
iron-maiden-ohio-center-None,2/9/1985,attendance,,5281,
dio-met-center-1985-01-27,2/9/1985,attendance,,5256,
dio-met-center-1985-01-27,2/9/1985,ticket_prices,['12/511'],['12/11'],
dio-dane-county-memorial-coliseum-1985-01-25,2/9/1985,gross_receipts_us,,47850,
dio-dane-county-memorial-coliseum-1985-01-25,2/9/1985,attendance,,4200,
dio-dane-county-memorial-coliseum-1985-01-25,2/9/1985,promoter,[''],['Stardate Prods.'],
johnny-cash-frank-crane-arena-1985-01-22,2/9/1985,gross_receipts_us,,42072,
johnny-cash-frank-crane-arena-1985-01-22,2/9/1985,attendance,,2812,
johnny-cash-frank-crane-arena-1985-01-22,2/9/1985,promoter,"['Prods.', '3,509)']",['Artists Consultants Prods.'],
george-jones-stabler-arena-1985-01-25,2/9/1985,attendance,,1791,
wasp:-mid-hudson-civic-center-1985-01-23,2/9/1985,attendance,,2051,
wasp:-mid-hudson-civic-center-1985-01-23,2/9/1985,promoter,['& Corky Concert Prods.'],"['Harvey & Corky Concert Prods.', 'International Donald K. Donald']",
wasp:-mid-hudson-civic-center-1985-01-23,2/9/1985,location,"['Mid-Hudson Civic Center', 'Poughkeepsie, N.Y.', 'Donald K. Donald']","['Mid-Hudson Civic Center', 'Poughkeepsie, N.Y.']",
