artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"[""VAN HALEN'S MONSTERS OF"", 'ROCK:', 'VAN HALEN', 'SCORPIONS', 'DOKKEN', 'METALLICA', 'KINGDOM COME']",['24'],1943900.0,,80144.0,,,1.0,['Avalon Attractions'],['25'],"['Los Angeles duly', 'Cohseum', 'Los Angeles']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['JULEC IGLESIAS:', 'BRAD GARRETT']",['July 5-7'],484305.0,,16761.0,,,,"['in-house', '32,000']",['36/25/15'],"['Garden State', 'Arts Center', 'Holmdel, N.).']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['SQUEEZE', 'THE SMITHEREENS']",['July 22-23'],400000.0,,20000.0,,,1.0,['Ron Delsener'],['20'],"['Jones Beach', 'Theatre', 'Wantagh, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['AEROSMETH', 'GUNS NY ROSES']","['July 17', '320/315 25,202']",348714.0,,3674.0,,,,['Nedertander'],[],"['Poplar Creek', 'Music Theatre', 'Hoffman', 'Estates, Ill.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['RANDY TRAVIS.', 'GEORGE FOX']",['July 16'],341692.0,,16768.0,,,,"['Concert Prods.', '22,954 Internationa']",['25.50'],"['Olympic', 'Saddledome', 'Calgary, Alberta Donald K. Donald', 'Prods.', 'Perryscope', 'Concert Prods.', 'Special Moments', 'Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
['AEROSMITH'],['July 19'],303835.0,,17819.0,,,,"['Belkin Prods.', '19,410']",['17.50'],"['Richfield', ""(GUNS N' ROSES Coliseum"", 'Richfield, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
['STING'],['July 15'],288889.0,,14428.0,,,,"['Perryscope', '14,760 Concert Prods.']",['25.50'],"['Olympic', 'Saddledome', 'Calgary, Alberta']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['STEVE WINWOOD.', 'YOHNNY CLEGG & SAVUKA']",['July 20'],288139.0,,16482.0,,,,"['Bill Graham', '20,000 Presents']",['18.50/16.50'],"['Shoreline', 'Amphitheatre', 'Mountain View,', 'Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['BUDWEISER SUPERFEST:', 'GLADYS KNIGHT & THE PIPS', 'FREDDIE JACKSON', 'TEENA MARIE', 'MORRIS DAY', 'THE DEELE']",['July 23'],287251.0,,14367.0,,,,"['AH. Enterprises', '19,000']",['22.75/21.75'],"['Reunion Arena', 'Dallas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
"['DEF LEPPARD', 'EUROPE']","['July 18', '320/817']",286200.0,,16740.0,,,1.0,['Sunshine'],[],"['Indiana State', 'Fairgrounds.', 'Indianapolis.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
