artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['BARRY MANILOW NEC.'],['1-3'],929217.0,,25196.0,,,,['Kennedy Street'],['37.02/28.20'],"['Nov.', 'Birmingham,', 'England British pounds) Andrew Miller']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
['BARRY MANILOW'],['Oct. 24-26'],,,,,,,['B24 Kennedy Street'],['35.86/27'],"['Wembley Arena', 'London', 'British pounds) Andrew Miller']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
"['O1NGO BOINGO', 'MICHAEL BOLTON', 'FRANCESCA BEGHE']","['Oct. 31,', 'Nov.1-2', '19-', '2022-23']",798406.0,,45000.0,,,1.0,"['Avalon Attractions', '21,740 Ron Delsener']","['22.50/21.50/', '20/18.50', '696,710', '40/35/25']","['Irvine Meadows', 'Amphitheatre', 'Irvine, Calif.', 'The Paramount Nav.', 'New York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
"['PAULA ABDUL', 'COLOR ME BADD']",['Nov.8-9'],,,,,,1.0,"['26,997 Belkin Prods.']","['40/22.50/', '18.50']","['Palace of', 'Auburn Hills', 'Door Prods.', 'Auburn Hills,', 'Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
['BARRY MANILOW'],['Nov. 19-23'],,,,,,,"['18,083 Jam Prods.', '22,392']","['45/34.50/', '27.50/22.50']","['Chicago Theatre', 'Chicago,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
"['RUSH', 'ERIC JOHNSON']",['Nov. 13-14'],,,,,,,"['22054 Belkin Prods.', '26,000 Cellar Door Prods.']",['32.50/22.50'],"['Palace of', 'Auburn Hills', 'Aubusn Hills,', 'Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
"['PAULA ABOUL', 'COLOR ME BADO', 'AFTERSHOCK', 'ERIC JOHNSON']","['14-15', 'Nov. 17-18']",,,,,,1.0,"['20,700 Don Law Co.', '21,367 Belkin Prods.', '25,000']","['35/517.50', '430,463', '30/820']","['Centrum In Now.', 'Worcester', 'Worcester,', 'Mass.', 'rus Richfield', 'Coliseum', 'Richfield, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
['JERRY GARCIA BAND'],['Nov. 22'],380280.0,,17283.0,,,1.0,['Jam Prods.'],['22.50/20'],"['Rosemont', 'Horizon', 'Graham', 'Rosemont, Ill. Presents']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/12/BB-1991-12-07.pdf
