entity_id,segment_id,year,quarter,metric_id,sub_metric_id,value,currency,org_currency,conversion_rate,decimal_conversion,scope,source_extracted_id,source_type,source_original_id,data_quality,source_uri,notes
spotify,premium,2014,,revenue,,1139932000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2014,,revenue,,118320000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2015,,revenue,,2023040000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2015,,revenue,,227360000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2016,,revenue,,3082120000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2016,,revenue,,342200000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2017,,revenue,,4261840000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2017,,revenue,,482560000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2018,,revenue,,5471720000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2018,,revenue,,628720000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2019,,revenue,,7059760000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2019,,revenue,,786480000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2020,,revenue,,8276600000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2020,,revenue,,864200000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2021,,revenue,,9813600000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2021,,revenue,,1401280000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2022,,revenue,,11891160000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2022,,revenue,,1712160000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2023,,revenue,,13416560000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,ad_supported,2023,,revenue,,1949960000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
spotify,premium,2024,,revenue,,16030040000,usd,eur,1.16,1.00E+06,worldwide,statista,Graph,spotify,,,
