weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[28, 211]",31,[],1985-05-30,1985-06-01,May 30-June 1,george-benson-radio-city-musi¢-hall-1985-05-30,439800,,16011,,,,"[30.0, 25.0, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
2,,"[179, 199]",31,[],1985-06-06,1985-06-07,June 6-7,madonna-radio-city-musi¢-hall-1985-06-06,294050,,17538,,,3,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
3,,"[179, 199]",34,[],1985-05-29,1985-05-29,May 29,madonna-the-spectrum-philadelphia-1985-05-29,237047,,15511,,,1,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
4,,[14],194,[],1985-06-02,1985-06-02,June 2,alabama-sandstone-bonner-springs-1985-06-02,226530,,15102,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
5,,"[179, 199]",106,[],1985-06-03,1985-06-03,June 3,madonna-new-haven-coliseum-1985-06-03,153856,,10190,,,1,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
6,,"[14, 127]",65,[],1985-05-31,1985-05-31,May 31,alabama-thomas-&-mack-center-1985-05-31,141927,,8009,,,,"[25.0, 17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
7,,"[19, 219]",181,[],1985-06-07,1985-06-07,June 7,patti-labelle-greek-theatre-1985-06-07,113026,,6187,,,1,"[20.0, 18.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
8,,[49],180,[],1985-06-02,1985-06-02,June 2,anne-murray-chastain-park-1985-06-02,94846,,5685,,,,"[18.5, 16.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
9,,"[213, 205, 220, 207, 203, 206, 223]",195,[],1985-05-17,1985-05-17,May 17,fabian-universal-city-amphitheater-1985-05-17,86212,,5612,,,1,"[16.0, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
10,Fresh Fest Two,[],196,[],1985-06-09,1985-06-09,June 9,fresh-fest-two-carolina-coliseum-1985-06-09,84865,,7715,,,,[11.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
11,,"[208, 209]",847,[],1985-06-04,1985-06-04,June 4,kenny-loggins-market-square-arena-1985-06-04,79540,,5892,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
12,Happy Together Tour,[],180,[],1985-05-31,1985-05-31,May 31,happy-together-tour-chastain-park-1985-05-31,77975,,6351,,,1,"[15.0, 12.5, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
13,Planetary Invasion Tour,[],31,[],1985-05-25,1985-05-25,May 25,planetary-invasion-tour-radio-city-musi¢-hall-1985-05-25,77059,,4884,,,,"[20.0, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
14,,"[231, 214]",180,[],1985-06-01,1985-06-01,June 1,spyro-gyra-chastain-park-1985-06-01,76808,,5381,,,1,"[18.75, 16.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
15,,"[210, 228, 222]",156,[],1985-05-31,1985-05-31,May 31,luther-vandross-jacksonville-coliseum-1985-05-31,76640,,6230,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
16,,"[213, 205, 224]",198,[],1985-05-19,1985-05-19,May 19,fabian-circle-star-theater-1985-05-19,68996,,5872,,,,[11.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
17,,"[210, 228, 222]",53,[],1985-06-02,1985-06-02,June 2,luther-vandross-lakeland-civic-center-1985-06-02,64733,,5491,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
18,,[226],199,[],1985-06-01,1985-06-01,June 1,annie-murray-jacksonville-civic-center-1985-06-01,60390,,4578,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
19,Happy Together Tour,[],200,[],1985-06-02,1985-06-02,June 2,happy-together-tour-sunrise-theater-1985-06-02,51514,,3368,,,,"[32.0, 13.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-22.pdf
