weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[1131, 1132]",973,[],1992-01-03,1992-01-08,Jan 31 1-8,juan-gabriel-national-auditorium-1992-01-03,2674519,,83769,,,,[],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
2,,"[1036, 667]",974,[],1992-02-07,1992-02-08,Feb 7-8,gloria-estefan-palacio-de-los-deportes-palace)-mexican-setiouts-mexico-city-1992-02-07,1057739,,28200,,,,"[54.0, 22.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
3,,[1133],344,[],1992-02-04,1992-02-05,Feb 4-5,edl-diamond-richfield-coliseum-1992-02-04,943474,,38368,,,,"[25.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
4,,[24],564,[],1992-02-01,1992-02-02,Feb 1-2,rod-stewart-palace-1992-02-01,870863,,33468,,,1,"[50.0, 335.0, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
5,,[24],415,[],1992-02-09,1992-02-10,Feb 9-10,rod-stewart-los-angeles-sports-arena-1992-02-09,626616,,20573,,,,"[50.0, 27.5, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
6,,[291],821,[],1992-02-07,1992-02-08,Feb 7-8,dire-straits-great-western-forum-inglewood-two-nederlander-shows-one-organization-sellout-1992-02-07,588665,,2331,,,,"[40.0, 325.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
7,,[117],822,[],1992-02-07,1992-02-08,Feb 7-8,neil-diamond-ervin-j-nutter-center-1992-02-07,567629,,23697,,,,"[25.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
8,,"[631, 1043]",257,[],1992-01-22,1992-01-22,Jan 22,van-halen-tacoma-dome-1992-01-22,373689,,17005,,,1,"[24.5, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
9,,[616],344,[],1992-01-15,1992-01-15,Jan 15,roo-stewart-richfield-coliseum-1992-01-15,341135,,14457,,,1,"[40.0, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
10,Gac Truck American Music Tour,"[423, 1135, 1134]",569,[],1992-02-14,1992-02-14,Feb 14,gac-truck-american-music-tour-palace-1992-02-14,334757,,17167,,,1,[19.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
