artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['JOHNNY MATHIS & HENRY', 'MANCINI']","['Feb, 4-8']",699905,,25096,,,,"['Radio City Music Hall Prods.', '28,870']",['30/25/20'],"['Radio City Music Hall', 'New York, N.Y.', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['GENESIS'],['Feb. 22-23'],684075,,39830,,,1,['Pro Motion Concerts'],['17.50'],"['Smith Center', 'Univ. of North Carotina', 'Chapel Hill, N.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['GENESIS.'],['Feb. 16-18'],646555,,37871,,,1,['Don Law Co.'],['17.50'],"['The Centrum in Worcester', 'Worcester, Mass.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
"['LIONEL RICHIE', 'ANDY BUMATAI']",['Feb. 19-21'],473064,,235871,,,1,['Tom Moffatt Prods.'],[],"['Neal S. Blaisdell Center', 'Honolulu, Hawaii']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['RED SKELTON'],['Feb. 3-9'],399672,,19381,,,,"['in-house', '24,416']",['29.90/24.90/14.90/9.90'],"['Chicago Stadium', 'Chicago, Ul.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['GENESIS.'],['Feb. 20-21'],364613,,20835,,,1,['Celiar Door Prods.'],['17.50'],"['Hampton Coliseum', 'Hampton, Va.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['GENESIS.'],['Jan. 31'],342037,,19940,,,1,['Pro Motion Concerts'],['17.50'],"['Smith Center', 'Univ. of North Carolina', 'Chapel Hill, N.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['NEIL DIAMOND: LSU'],['Feb. 19'],243718,,14034,,,1,['Eric/Cnandler Ltd.'],['17.50/15'],"['Assembly Center', 'Louisiana State Univ.', 'Baton Rouge, La.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
"['IRON MAIDEN', 'VINNIE VINCENT INVASION']","['Feb, 21']",235983,,14302,,,1,['Bill Graham Presents'],[],"['Oakland Alameda County', 'Coliseum', 'Oakland, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['MITZI GAYNOR'],['Feb. 18-22'],235313,,15375,,,,"['in-house', '20,928']",['24/19/14'],"['Chicago Stadium', 'Chicago, III.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['BILLY JOEL'],['Feb. 10'],233537,,13698,,,1,['Electric Factory Concerts'],['17.50'],"['Riverfront Coliseum', 'Cincinnati, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
['NEIL DIAMOND'],['Feb. 17'],233535,,13479,,,1,['Eric/Chandler Ltd.'],['17.50/15'],"['Myriad Convention Center', 'Oklahoma City, Okla.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
"['HUEY LEWIS & THE NEWS', 'THE ROBERT CRAY BAND', 'L']",['Feb. 20'],226704,,14169,,,1,['New Era Prods.'],['16'],"['Birmingham-Jefferson Civic', 'Center', 'Birmingham, Ala.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/03/Billboard-1987-03-07.pdf
