artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['THE WHO', 'NJ.']",['June 29'],5000000.0,,223135.0,,,1.0,['Metropolitan'],['23.50'],"['Giants Stadium', 'East Rutherford,', 'formerly Monarch', 'Entertainment/', 'John Scher', 'Presents']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
['NEIL DIAMOND'],"['June 28-', '30, July 2', '5-10']",3498000.0,,193898.0,,,1.0,['Avalon Attractions'],['20/18'],"['The Great', 'Western Forum', 'Inglewood, Calif. __&']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
['THE WHO RFK'],['July 6-7'],1952145.0,,86762.0,,,1.0,['Cellar Door Prods.'],['22.50'],"['Stagium', 'Washington,', 'Dc.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['BUDWEISER SUPERFEST:', 'PATTI LABELLE', 'NEW EDITION', 'KOOL MOE DEE']",['July 1'],984825.0,,40961.0,,,,"['AH. Enterprises', '53,544']",['27.50/25'],"['Los Angeles', 'Coliseum', 'Los Angeles', 'TONY! TONE TONE!', 'euY']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['GRATEFUL DEAD', 'NY.']","['July 4', '10,000', '59,057']",969532.0,,46597.0,,,,['Metropolitan'],[],"['Rich Stadium', 'Orchard Park, ga']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['METALLICA', 'THECULT']",['June 24'],800506.0,,19357.0,,,,"['Joseph', '30,000 Entertainment']",['25.50/17.50'],"['Alpine Valley', 'Music Theatre', 'East Troy, Wis. Group']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['ARETHA FRANKLIN', 'PAUL MOONEY']",['July 5-7'],602175.0,,16309.0,,,,"['Radio City Music', '17,622 Hall Prods.']",['40/35/30'],"['Radio City', 'Music Hall', 'New York sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['JOWATHON BRANDMEIER & |', 'THE LEISURE SUITS']",['June 3&4'],,,,,,,"['36415 Brandmeier Prods.', '48,000']",['19.50/16.50'],"['Poplar Creek', 'Music Theatre', 'Hoffman', 'Estates, Il _|']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['THE DOOBIE BROTHERS', 'THE RAINMAKERS:']",['June 17-18'],,,,,,,"['2,061 Joseph', '40,000 Entertainment']",['25.50/17.50'],"['Alpine Valley', 'Music Theatre', 'East Troy, Wis. Group']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
"['(GEORGE STRAIT', 'BILLY JOE ROYAL', 'LINDA DAVIS.']",['July 8-9'],434738.0,,24631.0,,,1.0,['Varnell Enterprises'],['17.65'],"['The Summit', 'Houston']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/07/BB-1989-07-22.pdf
