artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['FRANK SINATRA/DEAN'],['March 18-20'],,,,,,1.0,"['10,200 in-house']",['100/75/50/825'],"['Chicago Theatre', 'MARTIN/SAMMY DAVIS JR. Chicago, I']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
"['BRUCE SPRINGSTEEN & THEE |', 'STREET BAND.']",['March 16-17'],,,,,,,"['35,632 Jam Prods']",['22.50'],"['Rosemont Horizon', 'Rosemont, tI', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['FRANK SINATRA/SAMMY DAVIS |'],['March 13'],603760.0,,15470.0,,,1.0,['Bill Graham Presents'],['40/30'],"['Oakland-Alameda County', 'JR./DEAN MARTIN Coliseum', 'Oakland, Calif en = d|']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['FRANK SINATRA/DEAN'],['March 16'],521310.0,,13927.0,,,1.0,['T White Rose Limited'],['40/30'],"['Coliseum, Seattle Center', 'MARTIN/SAMMY DAVIS JR. Seattle, Wash']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['INXS'],['March 18-20'],,,,,,1.0,['17822 Radio City Music Hall Prods'],['20'],"['Radio City Music Hal', 'Ph _| New York, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
"['GEORGE THOROGOOD & THE', 'DESTROYERS']","['March 18-19', '5,']",,,,,,1.0,"['16,000 Cellar Door Prods.']",['17.50'],"['Patriot Center', 'George Mason Univ,', 'Va']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['JOHN COUGAR MELLENCAMP'],['March 3'],224368.0,,13388.0,,,1.0,"['PACE Concerts,']",['17.50'],"['Reunion Arena', 'Dallas, Texas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['JOHN COUGAR MELLENCAMP'],['March 6'],209948.0,,12499.0,,,1.0,['PACE Concerts'],[],"['The Summit', 'Houston, Texas', '_ _ii']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['LINDA RONSTADT'],['March 20'],192860.0,,10501.0,,,,"['Avaion Attractions', '15,000']",['25/20/17.50/15'],"['Irvine Meadows Amphitheatre', 'lrvine, Calf, __|']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
['STING'],['1'],178337.0,,11337.0,,,1.0,['PACE Concerts'],['1675'],"['The Summit Match', 'Houston, Texas', '_']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
"['DIO FEATURING RONNIE JAMES  |', 'DIO', 'MEGADETH', 'SAVATAGE']","['March 12 3173,110 10,485']",,,,,,,"['', '12,300']",['17.50'],"['Arena, Long Beach Convention & ©', 'Entertainment Center', 'Long Beach, Calif']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1988/04/BB-1988-04-02.pdf
