artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['GRATEFUL DEAD'],['Sept. 11-13'],920430.0,,52596.0,,,1.0,['Cellar Door Prods.'],['17.50'],"['Capital Centre', 'Landover, Md.', 'Entertainment Bureau']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['WHITNEY HOUSTON', 'KENNY G.']",['Sept. 8-9'],862000.0,,58800.0,,,1.0,['Ron Delsener Enterprises'],['25/20/17.50'],"['Arena, Madison Square Garden', 'Center', 'New York, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
['GRATEFUL DEAD'],['Sept. 7-9'],659324.0,,39959.0,,,1.0,['Frank J. Russo'],['16.50'],"['Providence Civic Center', 'Providence, R.t.', 'Entertainment Bureau']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['U2', 'MASON RUFFNER']",['Sept. 10-11 34399'],,,,,,,['Bureau'],[],"['Nassau Coliseum', 'Uniondale, N.Y. gg Sellout John Scher Presents', 'Larry Vaughn Presents']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['DAVID BOWIE', 'THE BODEANS']",['Sept. 12'],640120.0,,32006.0,,,,"['Belkin Prods.', '35,000']",['20'],"['Pontiac Silverdome', 'Pontiac, Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
['PINK FLOYD'],['Sept. 9'],495099.0,,26062.0,,,,"['Bassclef Entertainment Ltd.', '35,000 Concert Prods. International']",['25'],"['Stadium, Lansdowne Park', 'Ottawa, Ont., Canada', 'Donald K. Donald Prods.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['HEART', 'TOM KIMMEL']",['Sept. 4-5'],491457.0,,,,,1.0,['Avalon Attractions'],['18.50/15'],"['Irvine Meadows Amphitheatre', 'Laguna Hills, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['BOSTON', 'FARRENHEIT']",['Sept. 11-12'],431351.0,,,,,,"['DiCesare-Engler Prods.', '27,000']",['17.50'],"['Civic Arena', 'Pittsburgh, Pa,', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['DEF JAM 87:', 'LL. COOL J', 'WHODINI', 'ERIC B, & RAKIM', 'PUBLIC ENEMY', 'STETSASONIC, JAZZY JEFF & THE', 'FRESH PRINCE']","['Sept, 4-5']",409408.0,,5588.0,,,,"['G Street Express', '37,412 Stageright Prods.', '(4TH)']",['16.00'],"['The Spectrum', 'Philadelphia, Pa,', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
"['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD', 'COMBO']",['Aug. 23-24'],378560.0,,21632.0,,,1.0,['Frank J. Russo'],['17.50'],"['Providence Civic Center', 'Providence, R.|']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/09/Billboard-1987-09-26.pdf
