artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['THE WHO'],['July 21-23'],,,,,,1.0,"['110,004 Joseph']",['32.50/25.50'],"['Alpine Valley', 'Music Theatre', 'i East Troy, Wis.', 'Group']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['THE WHO'],['July 9-10'],2279443.0,,102101.0,,,1.0,['Electric Factory'],['22.50'],"['Philadelphia', 'Veterans', 'Stadium', '_|_ Philadelphia Je']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['| GRATEFUL DEAD'],['July 17-19'],,,,,,,"['105,671 Joseph', '411,000 Entertainment']",['21.50/17.50'],"['Alpine Valley', 'Music Theatre', 'East Troy, Wis. sellout Group', 'Metropolitan', 'Entertainment']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['GRATEFUL DEAD JFK', 'BRUCE HORNSBY & THE', 'RANGE.']","['July 7', '75,000']",1527666.0,,13347.0,,,,['Electric Factory'],[],"['Stadium', 'Philadelphia gal']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['THE WHO |'],"['July 16', '325 58,000']",1131000.0,,45924.0,,,,['OiCesare-Engler'],[],"['Three Rivers', 'Stadium', 'Pittsburgh JL']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['NEIL DIAMOND'],['July 15-17'],,,,,,1.0,"['$1,888 Ogden Allied']",['20/518'],"['Met Center', 'Bloomington,', 'Minn. all> Eric Chandler Ltd']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['NEIL OLAMOND'],['July 12-13'],698097.0,,36400.0,,,1.0,"['Fey Concert Co,']",['20.35/19.25'],"['MecNichols.', 'Sports Arena', 'Denver =']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['METALLICA', 'THE CULT']",['July 21-22'],,,,,,,"['23670 Metropolitan', '29,800 Entertainment']",['48.50/17.50'],"['Meadowlands', 'Arena', 'East Rutherford,', 'te LE Bi.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['NEW ORDER', 'PUBLIC INAGE LTD.', 'SUGARCUBES']",['June 30'],449017.0,,25751.0,,,1.0,['Nederlander'],['20/16.50'],"['Poplar Creek', 'Music Theatre', 'Chicago']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['THE DOOBIE BROTHERS', 'THE FABULOUS:', 'THUNDERBIRDS']",['July 20-21'],,,,,,,"['19201 Ron Oelsener', '20,000 Enterprises']",['22.50'],"['Jones Beach', 'Theatre', 'Wantagh, N.Y. . sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['NEW ORDER', 'PUBLIC IMAGE LTD.', 'SUGARCUBES', 'NJ']",['July 19'],341252.0,,18646.0,,,1.0,['Metropolitan'],['20/18.50'],"['Meadowlands', 'Arena', 'East Rutherford, New Music', 'Seminar']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
['CHICAGO/THE BEACH BOTS |'],['July 19'],301315.0,,13525.0,,,,"['OiCesare-Engler', '14,500 Prods.']",['26/823.50'],"['Civic Arena', 'Pittsburgh', 'in-house']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['JIMMY BUFFETT & THE', 'CORAL REEFER BAND', 'THE NEVILLE BROTHERS', 'DAVE MASON', 'DELBERT MCCLINTON', 'REITH SIXES.']",['July 22'],300740.0,,15037.0,,,1.0,['Mid-South'],['20'],"['Southfield, Mud', '{sland', 'Memphis, Tenn', 'is a']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
"['NEW ORDER', 'PUBLIC IMAGE LTD.', 'SUGARCUBS']",['July 17'],291502.0,,16646.0,,,1.0,['Nederlander'],['20/316.50'],"['Pine Knob', 'Music Theatre', 'Clarkston, Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
