weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[412],344,[],1987-01-11,1987-01-12,Jan 11-12,billy-joel-richfield-coliseum-1987-01-11,661325,,37782,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
2,,"[326, 380]",325,[],1987-01-10,1987-01-11,Jan 10-11,bob-seger-the-silver-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-01-10,455119,,28546,,,1,"[16.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
3,,"[121, 383, 23]",36,[],1987-01-12,1987-01-13,Jan 12-13,huey-lewis-the-news-the-forum-inglewood-1987-01-12,453068,,24618,,,1,"[18.5, 17.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
4,,"[311, 416]",345,[],1987-01-15,1987-01-15,Jan 15,david-lee-roth-meadowlands-arena-&-giants-stadium-1987-01-15,279708,,19487,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
5,,[412],346,[],1987-01-15,1987-01-15,Jan 15,billy-joel-civic-arena-&-exhibit-hall-1987-01-15,279415,,16060,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
6,,"[289, 337]",325,[],1987-01-14,1987-01-14,Jan 14,bon-jovi-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-01-14,224028,,16002,,,1,"[15.0, 14.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
7,,"[99, 406, 373]",34,[],1987-01-13,1987-01-13,Jan 13,iron-maiden-the-spectrum-philadelphia-1987-01-13,223436,,15405,,,1,"[15.0, 13.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
8,,"[121, 383, 23]",39,[],1987-01-09,1987-01-09,Jan 9,huey-lewis-the-news-san-diego-sports-arena-1987-01-09,197435,,11802,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
9,,"[401, 406, 373]",37,[],,,,jron-maiden-capital-centre-None,182947,,11803,,,,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
10,,"[311, 416]",45,[],1987-01-16,1987-01-16,Jan 16,david-lee-roth-providence-civic-center-1987-01-16,172198,,11190,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
