artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['BOB SEGER & THE SILVER', 'BULLET BAND', 'GEORGIA SATELLITES']",['Feb. 7-9'],673818.0,,38864.0,,,,"['Feyline Presents', '41,673']","['17.60/16,50']","['McNichols Sports Arena', 'Denver, Colo.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
['JOURNEY'],['Jan. 21-23'],539290.0,,23973.0,,,1.0,['Northern Stage Co.'],"['23.50/21.50,']","['George M. Sullivan Sports Arena', 'Anchorage, Alaska']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
['PETER ALLEN & THE ROCKETTES '],['Jan. 27-Feb.1'],336785.0,,26909.0,,,,"['Fox Concerts', '37,320']",['18.50/15.50/12.50/6.50'],"['Fox Theatre', 'St. Louis, Mo.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
"['BOB SEGER & THE SILVER', 'BULLET BAND', 'GEORGIA SATELLITES']",['Jan. 27'],312344.0,427859.0,20989.0,,,1.0,['Media One'],['21/19'],"['British Columbia Place Stadium', 'Vancouver, British Columbia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
['BILLY JOEL'],['Feb. 5'],236233.0,,13499.0,,,1.0,['Cellar Door Prods.'],['17.50'],"['Crisler Arena', 'Ann Arbor, Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
['DAVID COPPERFIELD'],"['Jan. 31, Feb. 1-', '2 318 24,516']",212000.0,,,,,,['Festival Ventures'],[],"['Sunrise Musical Theatre', 'Sunrise, Fla.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
"['IRON MAIDEN', 'VINNIE VINCENT INVASION']",['Feb. 6'],191257.0,,12282.0,,,,"['Feyline Presents', '15,000']","['15.95/14.85/', '13.75']","['MeNichols Arena', 'Denver, Colo.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
"['HANK WILLIAMS JR.', 'SAWYER BROWN', 'STEVE WARINER']",['Feb. 8'],153947.0,,10617.0,,,1.0,['Stellar'],['14.50'],"['Kentucky Fair & Exposition', 'Center', 'Corp.', 'Louisville, Ky.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
"['HUEY LEWIS & THE NEWS.', 'THE ROBERT CRAY BAND']",['Feb. 3'],149078.0,,9380.0,,,1.0,['Fantasma Prods.'],['16.50'],"['Tampa Sun Dome', 'Univ, of South Florida', 'Tampa, Fla.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
"['DAVID LEE ROTH', 'TESLA']",['Jan. 31'],117203.0,,7811.0,,,1.0,['Cellar Door Prods.'],['5'],"['Dayton Hara Arena & Exposition', 'Center', 'Dayton, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
