weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[37, 110, 38]",115.0,[],1985-01-23,1985-01-24,Jan 23-24,kenny-rogers-gammage-center-1985-01-23,510986,,30358,,,2,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
2,,[1],45.0,[],1985-01-23,1985-01-24,Jan 23-24,bruce-springsteen-providence-civic-center-1985-01-23,443037,,26848,,,2,[17.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
3,,"[37, 110, 38]",116.0,[],1985-01-20,1985-01-21,Jan 20-21,kenny-rogers-selland-arena-1985-01-20,381341,,22130,,,2,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
4,,[26],117.0,[],1985-01-10,1985-01-12,Jan 10-12,oak-ridge-boys-carlton-west-green-bay-1985-01-10,198000,,6000,,,6,"[36.0, 33.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
5,,"[37, 110, 38]",118.0,[],1985-01-26,1985-01-26,Jan 26,kenny-rogers-special-events-center-1985-01-26,295662,,17653,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
6,,"[37, 110, 38]",119.0,[],1985-01-27,1985-01-27,Jan 27,kenny-rogers-mckale-memorial-center-1985-01-27,201428,,1928,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
7,,"[14, 127]",120.0,[],1985-01-19,1985-01-19,Jan 19,alabama-charlotte-coliseum-1985-01-19,177510,,11834,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
8,,"[99, 118]",35.0,[],1985-01-14,1985-01-14,Jan 14,iron-maiden-hartford-civic-center-1985-01-14,152323,,11483,,,1,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
9,,"[14, 127]",,[],1985-01-26,1985-01-26,Jan 26,alabama--1985-01-26,140766,,9388,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
10,,[26],121.0,[],1985-01-17,1985-01-19,Jan 17-19,oak-ridge-boys-executive-inn-1985-01-17,133402,,4350,5400,6,,[26.96],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
11,,[14],122.0,[],1985-01-18,1985-01-18,Jan 18,alabama-civic-center-1985-01-18,122305,,8159,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
12,,"[89, 94]",123.0,[],1985-01-24,1985-01-24,Jan 24,reo-speedwagon-charleston-civic-center-1985-01-24,118600,,9488,10200,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
13,,"[99, 118]",124.0,[],1985-01-06,1985-01-06,Jan 6,iron-maiden-richfield-coliseum-1985-01-06,117272,,9283,11500,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
14,,"[89, 94]",125.0,[],1985-01-18,1985-01-18,Jan 18,reo-speedwagon-hilman-civic-center-1985-01-18,114737,,9500,10000,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
15,,"[14, 127]",126.0,[],1985-01-25,1985-01-25,Jan 25,alabama-leon-county-civic-tallahassee-1985-01-25,106875,,7128,7900,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
16,,"[89, 94]",127.0,[],1985-01-22,1985-01-22,Jan 22,reo-speedwagon-hara-arena-1985-01-22,97562,,7805,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
17,,[87],128.0,[],1985-01-18,1985-01-18,Jan 18,bill-cosby-mid-hudson-civic-center-1985-01-18,88183,,5850,6000,,,"[15.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
18,,"[105, 139]",129.0,[],1985-01-18,1985-01-18,Jan 18,aerosmith-ohio-center-1985-01-18,87862,,7218,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
19,,[124],130.0,[],1985-01-25,1985-01-25,Jan 25,willie-nelson-family-memorial-auditorium-1985-01-25,72005,,4351,4453,,,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
20,,"[99, 118]",129.0,[],1985-01-05,1985-01-05,Jan 5,iron-maiden-ohio-center-1985-01-05,66688,,5281,,,,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
21,,[124],131.0,[],1985-01-22,1985-01-22,Jan 22,willie-nelson-family-goiden-hall-1985-01-22,62232,,3183,3869,,,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
22,,"[123, 139]",132.0,[],1985-01-27,1985-01-27,Jan 27,dio-met-center-1985-01-27,61598,,5256,7500,,,"[12.0, 11.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
23,,[124],133.0,[],1985-01-27,1985-01-27,Jan 27,willie-nelson-family-civic-auditorium-1985-01-27,50542,,3164,3260,,,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
24,,"[123, 45]",134.0,[],1985-01-25,1985-01-25,Jan 25,dio-dane-county-memorial-coliseum-1985-01-25,47850,,4200,,,1,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
25,,"[137, 140]",135.0,[],1985-01-22,1985-01-22,Jan 22,johnny-cash-frank-crane-arena-1985-01-22,42072,,2812,,,,"[15.0, 13.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
26,,"[133, 131, 126, 130, 138]",136.0,[],1985-01-25,1985-01-25,Jan 25,kingfish-capitol-theatre-1985-01-25,40146,,3397,,,1,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
27,,[135],137.0,[],1985-01-17,1985-01-17,Jan 17,chuck-berry-the-ritz-new-york-1985-01-17,37638,,3001,,,1,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
28,,"[60, 67]",138.0,[],1985-01-25,1985-01-25,Jan 25,george-strait-civic-center-1985-01-25,36936,,3618,,,1,"[12.0, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1985/02/BB-1985-02-09.pdf
