weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[1150],831,[],1992-03-11,1992-03-23,"March 11 16,22-23",reil-diamond-great-western-forum-ves-inglewood-1992-03-11,,,,,,,"[25.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
2,,"[1036, 667]",979,[],1992-02-28,1992-02-28,Feb 28,gloria-estefan-el-nemesio-camacho-stadium-1992-02-28,1500000,,60000,,,,"[25.0, 815.0, 812.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
3,,[36],258,[],1992-03-11,1992-03-13,March 11-13,grateful-dead-nassau-veterans-memorial-coliseum-1992-03-11,,,,,,,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
4,,"[1036, 667]",980,[],1992-03-03,1992-03-04,March 3-4,gloria-estefan-toliedro-arena-1992-03-03,,,,,,,"[200.0, 40.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
5,,[36],811,[],,,,grateful-dead-spectrum-philadelphia-electri¢-factory-None,,,,,,,[23.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
6,,"[1149, 181, 465, 1130, 276, 952, 641, 351, 277, 1147, 1152, 1148, 1151, 975, 575, 1068]",834,[],,,,farm-aid-y-march-stadium-None,,,,,,,"[45.0, 825.0, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
7,,[826],55,[],1992-03-10,1992-03-22,"March 10-18,20-22",the-allman-brothers-beacon-theatre-1992-03-10,,,,,10,,[30.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
8,,"[1036, 667]",835,[],1992-03-01,1992-03-01,March 1,gloria-estefan-el-tascuat-guerrero-stadium-1992-03-01,800000,,40000,,,,"[20.0, 15.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
9,,"[1036, 667]",981,[],1992-03-07,1992-03-07,March 7,gloria-estefan-luis-aparicio-stadium-1992-03-07,612903,,14000,,,,[],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
10,,"[1146, 1153]",66,[],,,,dare-straits-maple-leaf-gardens-None,,,,,,,"[29.5, 22.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
