weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[36],709,[],1991-05-10,1991-05-12,May 10-12,grateful-dead-shoreline-amphitheatre-1991-05-10,1083409,,52222,,,1,"[22.5, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
2,,[36],23,[],1991-05-03,1991-05-05,May 3-5,grateful-dead-cal-expo-amphitheatre-1991-05-03,978750,,43500,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
3,,"[325, 182, 196, 999]",941,[],1991-05-18,1991-05-18,May 18,frank-sinatra-rosemont-honzon-rosemont-1991-05-18,827215,,16959,,,1,"[75.0, 50.0, 35.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
4,,"[325, 1001, 196, 999]",942,[],1991-05-09,1991-05-09,May 9,frank-sinatra-olympic-saddledome-calgary-canadian)-1991-05-09,392815,,7748,,,,"[75.0, 55.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
5,,"[165, 989, 1008]",742,[],1991-05-11,1991-05-11,May 11,judds-jon-m-huntsman-center-1991-05-11,351690,,13641,,,,"[34.5, 24.5, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
6,'Â€Œâ€Œthe Simple Truth'—A Concert For Kurdish Refugees,"[1002, 996, 988, 850, 994, 1000, 1005, 992, 287, 1006, 465, 998, 1004]",943,[],1991-05-12,1991-05-12,May 12,aeuroeaeuroethe-simple-truth-a-concert-for-kurdish-refugees-wembley-arena-1991-05-12,295493,,11500,,,,[25.7],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
7,,[249],944,[],1991-05-03,1991-05-04,May 3-4,air-supply-premier-club-mexico-city-mexican-1991-05-03,255000,,3000,,,,[85.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
8,,"[269, 995]",685,[],1991-05-12,1991-05-12,May 12,whitney-houston-arco-arena-1991-05-12,208640,,9031,,,,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
9,,"[165, 989, 1008]",745,[],1991-05-15,1991-05-15,May 15,judds-metrapark-arena-1991-05-15,205193,,9647,,,,"[24.5, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
10,,[629],732,[],1991-05-17,1991-05-17,May 17,steve-winwood-starplex-amphitheatre-state-fairgrounds-1991-05-17,201600,,9953,,,,"[23.0, 18.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/06/BB-1991-06-01.pdf
