artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['JIMMY BUFFETT & THE', 'CORAL REFER BAND', 'EVANGELINE']",['May 22-24'],,,,,,,"['48,871 Nederlander', '$20 selfout Organization']",['27.50/'],"['Merriweather', 'Post Pavilion', 'Columbia, Md.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
"['VAN HALEN', 'THE BABY ANIMALS']","['May 12&', '16']",,,,,,,"['31,692 Avalon Attractions', '$22.50 sellout']",['35/'],"['Great Western', 'Forum', 'Inglewood, Cai.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
"['VAN HALEN', 'THE BABY ANIMALS.']",['May 14-15'],,,,,,1.0,"['19,286 Avalon Attractions']",['22.50'],"['Seliand Arena,', 'Fresno', 'Convention', 'Center', 'Fresno, Calif,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
['FRIC CLAPTON'],['May 23'],419.54,,16751.0,,,,"['Beaver Prods.', '$24 sellout Concert']",['39/'],"['The Omni Arena', 'Atlanta', 'Promoticns/', 'Southern', 'Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
['ERIC CLAPTON'],['May 10'],412617.0,,18381.0,,,,"['Cellar Door Prods.', '$22.50 sellout']","['27,50/']","['Capital Centre', 'Landover, Md']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
['THE CURE'],['May 20-21'],,,,,,,"['18,331 Tea Party Prods.', '$19.50 23,744']",['22.50/'],"['Centrum In', 'Worcester', 'Worcester,', 'Mass.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
"['KENNY ROGERS', 'SHELBY LYNNE']",['May 23-24'],,,,,,,"['13,600 in-house']",['28'],"['Star Plaza', 'Theatre', 'Ind sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
"['HAMMER', 'BOYZH MEN', 'JODECI']",['April 24'],339.27,,14237.0,,,1.0,['Dimensions'],['26.50'],"['Capital Centre', 'Landover, Md']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
['THE CURE'],['May 15'],337500.0,,15000.0,,,1.0,['Ron Delsener'],['22.50'],"['Nassau', 'Veterans', 'Memorial', 'Coliseum', 'Uniondale, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
"[""KOOL KONCERT'92:"", 'THE RAIDERS', 'FREDDY CANNON', 'PETER NOONE', 'THE TURTLES FEATURING', 'FLO & EDDIE']","['May 22-25', '105)']",,,,,,,"['72,000 KXKL Radio (KOOL']",[],"[""Fiddler's Green"", 'Amphitheatre Fx) sellout', 'Englewood,', 'Colo,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/06/Billboard-1992-06-06.pdf
