artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['REIL DIAMOND'],"['March 11.', '16,22-23']",,,,,,,"['142,570 Ogden Presents']",['25/19.50'],"['Great Western', 'Forum', 'Ves Inglewood, Calif sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE']",['Feb. 28'],1500000.0,,60000.0,,,,"['Cellar Door', '(815,000,000 seflout Concerts']",['25/815/812'],"['El Nemesio', 'Camacho', 'Stadium pesos)', 'Bogota,', '/Torres', 'Colombia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
['GRATEFUL DEAD'],"['March 11-', '13']",,,,,,,['51491 Metropolitan'],['25'],"['Nassau', 'Veterans', 'Memorial sellouts', 'Coliseum', 'Uniondale, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE']","['March 3-4', '74,000,000']",,,,,,,"['14,000 Cellar Door']",['200/40/15'],"['Toliedro Arena', 'Caracas,', 'Venezuela bolivars) seliouts Taxton', 'See eee', 'Baker/Tecnoshow']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
['GRATEFUL DEAD'],"['March 16-', '1B']",,,,,,,"['53,451 Metropolitan']",['23.50'],"['Spectrum', 'Philadelphia', 'sellouts Electric Factory', 'Concerts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['FARM AID ¥: |', 'WILLIE NELSON', 'PAUL SIMON', 'JOHN MELLENCAMP', 'NEIL YOUNG', 'KRIS KRISTOFFERSON', 'TRACY CHAPMAN', 'JOHN CONLEE', 'WAYLON JENNINGS', 'KENTUCKY HEADHUNTERS.', 'RAY WYLIE HUBBARD', 'BILLY FALCON', 'RICHARD MARX', 'LORRIE MORGAN', 'RICKY VAN SHELTON.', 'TEXAS TORNADOS']",['14'],,,,,,,"['33,000 PACE Concerts', '42,500']","['45/825/', '20']","['March', 'Stadium', 'Irving,', 'Texas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['THE ALLMAN BROTHERS', 'BAND']","['March 10-', '18,20-22']",,,,,10.0,,"['7068 Ron Delsener', ',13-15,17-']",['30'],"['Beacon Theatre', 'New York', 'Enterprises', 'Sellouts _']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['GLORIA ESTEFAN & MIAN', 'SOUND MACHINE']",['March 1'],800000.0,,40000.0,,,,"['Cellar Door', '(488,000,000 sellout Concerts']","['20/15/', '12']","['El Tascuat', 'Guerrero', 'Stadium pesos) Torres', 'Cali, Colombia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE']","['March 7', '20']",612903.0,,14000.0,,,,"['Cellar Door', '(38,000,000 seltout Concerts Taxton']",[],"['Luis Aparicio', 'Stadium', 'Maracaibo, bolivars)', 'Venezuela']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
"['DARE STRAITS', 'MCA']","['March 19-', '2»']",,,,,,,"['23,354', '(9683,938 24,000, Canada']","['29.50/', '22.50']","['Maple Leat', 'Concerts', 'Gardens', 'Toronto Canadian) two shows', 'ee']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/04/Billboard-1992-04-04.pdf
