weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,10th Annual Texxas World _| Music Festival,"[523, 105, 4, 394, 416, 527]",468,[],1987-06-20,1987-06-20,June 20,10th-annual-texxas-world-music-festival-cotton-bow!-stadium-texas-state-fair-coliseum-&-catton-bowi-stadium-1987-06-20,1800670,,80929,,,1,"[25.0, 22.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
2,,"[506, 121, 383, 23]",469,[],1987-06-20,1987-06-21,June 20-21,doobie-brothers-calaveras-co-fairgrounds-1987-06-20,672327,,23556,,,,[28.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
3,,"[191, 300]",470,[],1987-06-18,1987-06-19,June 18-19,bryan-adams-arena-madison-square-garden-center-1987-06-18,621819,,34764,,,,"[18.5, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
4,,[36],24,[],1987-06-19,1987-06-21,June 19-21,grateful-dead-greek-theatre-1987-06-19,446250,,25500,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
5,,"[289, 337]",26,[],1987-06-14,1987-06-15,June 14-15,bon-jovi-mcnichols-sports-arena-1987-06-14,472958,,25384,,,,"[17.05, 15.95, 14.85]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
6,,"[465, 529, 532, 522]",34,[],1987-06-17,1987-06-18,June 17-18,paul-simon-the-spectrum-philadelphia-1987-06-17,387525,,23328,,,,"[20.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
7,,"[539, 542]",362,[],1987-06-10,1987-06-16,June 10-16,johnny-mathis-fox-theatre-1987-06-10,360959,,20172,,,,"[26.9, 21.9, 18.9, 15.9]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
8,,"[191, 300]",471,[],1987-06-13,1987-06-14,June 13-14,bryan-adams-the-centrum-in-worcester-tune-worcester-1987-06-13,351143,,20888,,,1,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
9,,"[289, 337]",413,[],1987-06-04,1987-06-04,June 4,bon-jovi-kemper-arena-american-royal-center-1987-06-04,249349,,16417,,,1,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
10,,"[60, 365]",451,[],1987-06-13,1987-06-13,June 13,george-strait-coliseum-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-06-13,196530,,13510,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
11,,[3],472,[],1987-06-13,1987-06-13,June 13,chicago-jones-beach-theatre-1987-06-13,189347,,10235,,,1,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
12,,"[275, 533]",451,[],1987-06-20,1987-06-20,June 20,motley-crue-coliseum-arizona-veterans-memorial-coliseum-&-fairgrounds-1987-06-20,177359,,12000,,,1,"[16.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
13,,"[37, 377]",896,[],1987-06-13,1987-06-13,June 13,kenny-rogers-warwick-musical-theatre-1987-06-13,173182,,6572,,,,"[30.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
14,,"[37, 377]",474,[],1987-06-11,1987-06-11,June 11,kenny-rogers-coliseum-theatre-1987-06-11,168740,,5944,,,1,"[30.0, 28.25]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
15,,"[413, 199, 519]",39,[],,,,run-dmc-san-diego-sports-arena-None,154544,,10259,,,,[16.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
16,,"[243, 535, 534]",215,[],1987-06-17,1987-06-17,June 17,stevie-ray-vaughan-red-rocks-amphitheatre-1987-06-17,150772,,9000,,,1,"[17.6, 16.6]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
17,,"[541, 540]",387,[],1987-06-18,1987-06-18,June 18,duran-duran-the-centrum-in-worcester-worcester-1987-06-18,150115,,8798,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
18,,"[79, 525]",472,[],1987-06-13,1987-06-13,June 13,bangles-jones-beach-theatre-1987-06-13,147450,,8500,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
19,,"[531, 526]",31,[],1987-06-10,1987-06-10,June 10,charles-aznavour-pia-radio-city-musi¢-hall-1987-06-10,139575,,5108,,,,"[30.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
20,,[543],31,[],1987-05-29,1987-05-29,May 29,pimpinela-radio-city-musi¢-hall-1987-05-29,136950,,5874,,,1,"[25.0, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
21,,"[176, 537]",472,[],1987-06-20,1987-06-20,June 20,pointer-sisters-jones-beach-theatre-1987-06-20,126800,,7000,,,,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
22,,"[60, 365]",110,[],1987-06-20,1987-06-20,June 20,george-strait-tucson-community-center-1987-06-20,120510,,8293,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
23,,"[275, 533]",475,[],1987-06-19,1987-06-19,June 19,motley-crue-arena-1987-06-19,119717,,8098,,,,"[15.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
24,The Def Jam 87,"[520, 151, 546, 524, 530]",476,[],1987-06-20,1987-06-20,June 20,the-def-jam-87-baltimore-arena-1987-06-20,116878,,8798,,,,"[14.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
25,,"[158, 521]",329,[],1987-06-20,1987-06-09,June 20 9,hank-williams-jr-civic-arena-1987-06-20,111165,,7400,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
26,The Def Jam 87,"[538, 151, 528, 524, 530]",154,[],1987-06-19,1987-06-04,June 19 4,the-def-jam-87-greensboro-coliseum-1987-06-19,110038,,9301,,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
27,,"[255, 486, 492]",310,[],1987-06-16,1987-06-16,June 16,tom-petty-the-heartbreakers-met-center-1987-06-16,103618,,7048,,,,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
28,One For The Sun,"[382, 536, 544, 547, 139, 545, 548]",301,[],1987-06-20,1987-06-20,June 20,one-for-the-sun-starwood-amphitheater-1987-06-20,103000,,11000,,,,"[12.0, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
29,,"[60, 365]",897,[],1987-06-06,1987-06-06,June 6,george-strait-kansas-expocentre-topeka-1987-06-06,100170,,7009,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
30,,"[331, 549]",387,[],1987-06-12,1987-06-12,June 12,psychedelic-furs-the-centrum-in-worcester-worcester-1987-06-12,95939,,6628,,,,"[15.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/07/Billboard-1987-07-04.pdf
