event_id,ticket_price
24703,18.00
24698,18.00
24769,25.00
24730,18.00
24758,18.00
24779,16.00
24801,18.00
24854,18.00
24800,16.00
24802,150.00
24786,12.00
24794,21.00
24792,26.00
24805,27.00
24860,25.00
24785,18.00
24846,17.00
24184,20.00
24181,18.00
24231,14.00
24241,14.00
24233,16.00
24223,18.00
24240,23.00
24214,29.00
25035,13.00
25080,14.00
25057,16.00
25037,15.00
25105,18.00
25065,14.00
25095,15.00
23928,20.00
23929,16.00
23955,14.00
23904,20.00
23906,10.00
23972,29.00
23898,20.00
24578,19.00
24552,35.00
24574,20.00
24510,11.00
24566,18.00
24554,17.00
24554,14.00
24166,9.00
24166,5.00
24137,17.00
24138,20.00
24095,15.00
24102,16.00
24122,23.00
24150,18.00
24103,26.00
24106,18.00
24094,15.00
24076,25.00
24077,35.00
24092,17.00
24149,15.00
24121,14.00
24078,40.00
24107,23.00
24301,10.00
24310,23.00
24336,13.00
24292,15.00
24346,14.00
24302,16.00
24274,26.00
24276,14.00
24327,18.00
24340,16.00
24404,15.00
24356,19.00
24363,16.00
24433,23.00
24388,17.00
24416,18.00
24383,18.00
24000,15.00
24050,10.00
23978,15.00
24065,25.00
24014,20.00
24028,18.00
24045,15.00
24048,35.00
24047,16.00
24070,18.00
23802,9.00
23800,23.00
23762,16.00
23732,18.00
23766,18.00
23766,10.00
23740,16.00
23743,29.00
23738,14.00
23739,10.00
23778,21.00
23793,13.00
24636,16.00
24616,16.00
24629,25.00
24624,15.00
24645,20.00
24663,17.00
24666,25.00
24672,20.00
24630,29.00
24625,17.00
23811,10.00
23876,15.00
23873,14.00
23805,20.00
24454,20.00
24483,17.00
24478,50.00
24508,17.00
24487,16.00
24460,23.00
24490,16.00
24442,20.00
24491,20.00
24493,25.00
24995,17.00
24995,14.00
25007,10.00
25032,19.00
25030,16.00
25017,12.00
25000,17.00
24986,10.00
24895,20.00
24882,14.00
24909,15.00
24924,15.00
24886,16.00
24911,23.00
24930,19.00
24706,17.00
24735,18.00
24770,12.00
24714,19.00
24749,15.00
24736,16.00
24755,25.00
24762,13.00
24694,43.00
24748,11.00
24754,16.00
24752,14.00
24695,18.00
24784,18.00
24830,26.00
24827,14.00
24831,14.00
24201,16.00
24235,21.00
24203,18.00
24231,15.00
24244,18.00
24247,20.00
24188,14.00
24192,18.00
24214,50.00
24245,23.00
25039,16.00
25099,18.00
25066,13.00
25080,15.00
25094,13.00
25065,15.00
25050,15.00
23901,30.00
23938,15.00
23896,16.00
23897,12.00
23914,5.00
23933,17.00
23949,15.00
23944,20.00
23968,18.00
23943,20.00
23952,18.00
23952,10.00
23905,16.00
23909,15.00
24571,24.00
24557,17.00
24536,21.00
24551,17.00
24563,18.00
24535,25.00
24580,18.00
24592,20.00
24581,14.00
24084,18.00
24087,15.00
24125,22.00
24121,15.00
24081,17.00
24105,13.00
24161,11.00
24133,34.00
24133,29.00
24165,25.00
24111,15.00
24303,17.00
24303,14.00
24290,55.00
24343,21.00
24275,18.00
24323,15.00
24262,14.00
24330,15.00
24271,40.00
24313,20.00
24331,19.00
24346,15.00
24278,15.00
24300,16.00
24355,100.00
24409,24.00
24420,19.00
24417,19.00
24361,14.00
24352,15.00
24032,16.00
24012,18.00
24029,25.00
23992,15.00
24063,29.00
23991,16.00
24014,23.00
24045,14.00
24036,17.00
24036,14.00
24019,16.00
24062,16.00
23798,20.00
23729,25.00
23780,20.00
23789,13.00
23742,15.00
23746,23.00
24647,35.00
24659,9.00
24631,13.00
24665,16.00
24662,23.00
24678,23.00
24639,35.00
24607,8.00
23807,14.00
23877,25.00
23894,15.00
23832,27.00
23857,20.00
23888,19.00
23812,28.00
23818,27.00
23848,25.00
24483,15.00
24461,16.00
24478,10.00
24443,18.00
24465,16.00
24473,25.00
24484,18.00
24501,15.00
24460,20.00
24482,20.00
24469,13.00
24493,19.00
24961,14.00
25024,25.00
24954,16.00
24972,17.00
25000,15.00
24965,16.00
25023,18.00
24865,18.00
24943,17.00
24924,17.00
24877,15.00
24931,14.00
24875,18.00
24735,20.00
24756,14.00
24762,15.00
24694,50.00
24763,23.00
24729,14.00
24741,23.00
24856,28.00
24829,17.00
24858,28.00
24859,16.00
24796,23.00
24814,50.00
24807,18.00
24255,14.00
24257,26.00
24209,17.00
24242,18.00
24235,17.00
24177,30.00
24191,25.00
24250,15.00
24187,18.00
24251,27.00
24180,14.00
24223,23.00
24240,18.00
24256,18.00
24214,23.00
24225,25.00
24232,18.00
25041,15.00
25035,14.00
25060,20.00
25047,29.00
23901,25.00
23956,14.00
23954,13.00
23909,13.00
23916,18.00
23953,9.00
24572,18.00
24600,23.00
24577,14.00
24588,18.00
24514,16.00
24527,19.00
24598,11.00
24518,23.00
24556,20.00
24529,15.00
24144,21.00
24084,20.00
24087,13.00
24125,19.00
24133,20.00
24093,16.00
24110,36.00
24134,15.00
24170,15.00
24073,22.00
24072,14.00
24111,13.00
24168,24.00
24293,15.00
24314,15.00
24329,13.00
24330,13.00
24270,18.00
24271,50.00
24307,30.00
24319,12.00
24289,20.00
24328,20.00
24355,30.00
24356,17.00
24410,315.00
24371,18.00
24434,23.00
24364,17.00
24399,17.00
24031,18.00
23996,14.00
24012,20.00
24029,30.00
23990,14.00
24001,14.00
24056,25.00
23982,16.00
24052,15.00
23785,15.00
23799,45.00
23799,33.00
23802,19.00
23745,19.00
23757,14.00
23786,15.00
24650,18.00
24679,18.00
24641,19.00
24667,50.00
24626,16.00
24610,13.00
23893,18.00
23830,18.00
23821,20.00
23882,17.00
23825,18.00
23846,11.00
23890,17.00
23818,26.00
23849,15.00
24440,22.00
24501,13.00
24502,16.00
25019,13.00
25027,30.00
25022,16.00
25032,14.00
25011,18.00
24977,14.00
24970,23.00
25023,20.00
24883,15.00
24929,13.00
24911,18.00
24919,14.00
24940,14.00
24907,15.00
24930,17.00
24930,14.00
24723,15.00
24750,16.00
24764,13.00
24708,17.00
24747,20.00
24711,13.00
24820,19.00
24783,11.00
24799,17.00
24781,15.00
24802,25.00
24789,15.00
24813,13.00
24816,17.00
24816,14.00
24774,17.00
24844,15.00
24209,10.00
24212,12.00
24259,18.00
24215,20.00
24234,16.00
24219,15.00
24240,30.00
25051,35.00
25103,20.00
25055,19.00
25106,31.00
25101,17.00
23928,15.00
23941,17.00
23965,10.00
23897,14.00
23960,20.00
23902,15.00
23913,15.00
23951,15.00
24516,19.00
24533,19.00
24576,18.00
24560,18.00
24513,16.00
24519,16.00
24601,19.00
24159,24.00
24167,29.00
24118,14.00
24155,15.00
24071,23.00
24089,15.00
24141,16.00
24169,25.00
24078,30.00
24086,15.00
24130,18.00
24297,14.00
24301,13.00
24283,14.00
24322,18.00
24334,13.00
24358,13.00
24397,16.00
24385,23.00
24378,21.00
24421,14.00
24376,12.00
24361,12.00
24405,14.00
24380,15.00
24383,13.00
24035,20.00
24064,23.00
24037,17.00
24037,14.00
23979,15.00
23995,20.00
24028,13.00
24070,19.00
23768,15.00
23774,15.00
23729,18.00
23776,14.00
23719,13.00
23725,17.00
23753,17.00
23760,20.00
23761,15.00
23750,16.00
24679,5.00
24674,33.00
24685,19.00
24632,16.00
24680,13.00
24657,11.00
24610,23.00
24643,25.00
24606,13.00
24640,20.00
23807,12.00
23857,30.00
23871,18.00
23880,20.00
23805,22.00
23814,16.00
23855,20.00
23837,14.00
23872,18.00
24471,11.00
24468,25.00
24478,100.00
24507,17.00
24455,18.00
24472,24.00
24472,23.00
24474,14.00
24491,15.00
24504,18.00
24961,20.00
25001,20.00
24975,14.00
24970,19.00
24988,17.00
24955,18.00
24956,16.00
24986,13.00
24926,12.00
24874,12.00
24869,18.00
24938,17.00
24716,15.00
24746,15.00
24750,10.00
24745,10.00
24755,26.00
24696,50.00
24753,14.00
24729,16.00
24737,20.00
24788,10.00
24773,14.00
24848,15.00
24787,19.00
24804,15.00
24776,15.00
24782,23.00
24793,13.00
24853,14.00
24229,25.00
24252,29.00
24175,16.00
24193,16.00
24190,20.00
24233,19.00
24233,13.00
24208,17.00
24218,15.00
24227,13.00
24236,19.00
25084,17.00
25039,21.00
25074,14.00
25107,23.00
25038,14.00
25061,20.00
25098,23.00
23934,17.00
23934,14.00
23965,11.00
23900,14.00
23903,13.00
23963,20.00
23936,12.00
23917,12.00
23967,20.00
23923,12.00
23953,11.00
24570,23.00
24595,14.00
24590,14.00
24603,15.00
24539,14.00
24576,16.00
24558,17.00
24565,19.00
24560,16.00
24510,13.00
24542,19.00
24166,1.00
24171,11.00
24147,17.00
24119,15.00
24097,18.00
24088,25.00
24127,17.00
24130,16.00
24072,16.00
24290,25.00
24338,18.00
24274,19.00
24315,23.00
24324,17.00
24340,19.00
24340,13.00
24397,18.00
24402,15.00
24418,18.00
24429,23.00
24430,14.00
24390,20.00
24360,13.00
24373,25.00
24427,13.00
24061,26.00
24067,24.00
24022,15.00
24025,17.00
24025,14.00
24001,16.00
24004,15.00
23981,15.00
24007,13.00
24047,13.00
23733,20.00
23721,15.00
23750,18.00
24667,28.00
24621,13.00
24623,21.00
24628,30.00
24642,19.00
24634,32.00
24649,20.00
23863,21.00
23827,14.00
23846,17.00
23875,15.00
23839,18.00
23851,15.00
23806,19.00
23862,15.00
23856,50.00
23879,16.00
23872,16.00
23884,30.00
24492,23.00
24503,15.00
24509,26.00
24450,17.00
24480,23.00
24459,23.00
24467,16.00
24457,20.00
24486,25.00
25024,26.00
24966,20.00
24992,18.00
25020,11.00
25029,20.00
25015,18.00
24971,18.00
24982,19.00
24994,25.00
24987,17.00
24908,15.00
24905,16.00
24902,16.00
24904,15.00
24726,15.00
24766,15.00
24697,18.00
24771,23.00
24752,13.00
24763,20.00
24729,15.00
24741,20.00
24808,20.00
24802,45.00
24772,18.00
24845,26.00
24851,26.00
24797,16.00
24844,18.00
24209,15.00
24212,13.00
24183,17.00
24220,17.00
24193,15.00
24188,13.00
24233,7.00
24189,19.00
24226,27.00
25076,18.00
25044,28.00
25066,14.00
25052,23.00
25105,20.00
25095,13.00
25104,20.00
23928,18.00
23970,17.00
23904,18.00
23947,9.00
23947,5.00
24577,15.00
24526,17.00
24574,18.00
24535,15.00
24538,18.00
24564,18.00
24568,11.00
24515,15.00
24113,17.00
24083,16.00
24155,18.00
24146,28.00
24105,14.00
24133,24.00
24140,13.00
24079,23.00
24091,17.00
24096,18.00
24099,26.00
24337,18.00
24282,19.00
24262,13.00
24347,17.00
24340,7.00
24334,12.00
24358,12.00
24377,20.00
24387,16.00
24353,18.00
24359,19.00
24420,17.00
24378,24.00
24350,15.00
24362,25.00
24408,26.00
24398,20.00
24364,15.00
24413,18.00
24068,31.00
23997,19.00
24059,21.00
23990,15.00
23998,19.00
24022,16.00
24001,15.00
24005,16.00
23765,11.00
23796,18.00
23788,16.00
23775,18.00
23775,10.00
23726,18.00
23756,23.00
23764,10.00
23763,15.00
24614,20.00
24631,14.00
24685,20.00
24651,16.00
24680,12.00
24684,23.00
23833,16.00
23878,16.00
23886,33.00
23880,19.00
23887,19.00
23816,250.00
23858,13.00
23828,16.00
23869,16.00
24497,18.00
24473,15.00
24485,21.00
24496,12.00
24469,14.00
24498,15.00
24499,20.00
24475,28.00
24506,9.00
24491,18.00
24493,17.00
25032,22.00
24984,15.00
24977,15.00
24883,17.00
24941,23.00
24870,16.00
24937,20.00
24874,19.00
24950,18.00
24946,17.00
24892,11.00
24746,14.00
24701,15.00
24702,19.00
24725,17.00
24761,14.00
24753,15.00
24712,20.00
24705,17.00
24744,14.00
24779,25.00
24822,9.00
24843,17.00
24825,25.00
24848,17.00
24787,21.00
24775,22.00
24804,17.00
24838,33.00
24782,20.00
24815,23.00
24853,15.00
24861,21.00
24204,10.00
24248,13.00
24246,23.00
24178,23.00
24238,12.00
24199,15.00
24174,15.00
24250,16.00
24210,25.00
24224,16.00
24218,14.00
24213,24.00
25085,14.00
25070,5.00
25042,16.00
25046,10.00
25038,15.00
25100,18.00
25067,13.00
25078,18.00
25098,20.00
23899,19.00
23935,30.00
23900,15.00
23940,5.00
23908,38.00
23910,21.00
23948,13.00
24546,23.00
24589,18.00
24595,15.00
24544,17.00
24521,15.00
24553,14.00
24567,19.00
24579,20.00
24602,15.00
24528,18.00
24535,35.00
24525,27.00
24125,27.00
24088,13.00
24112,18.00
24136,25.00
24163,18.00
24126,20.00
24085,20.00
24134,16.00
24074,20.00
24145,18.00
24151,15.00
24269,16.00
24269,11.00
24293,16.00
24306,14.00
24284,13.00
24311,15.00
24277,23.00
24304,16.00
24317,25.00
24331,16.00
24315,20.00
24325,13.00
24368,15.00
24387,17.00
24394,20.00
24429,20.00
24367,13.00
24403,13.00
24384,9.00
24396,18.00
24348,26.00
24362,27.00
24349,18.00
24427,25.00
24428,23.00
24431,16.00
23980,23.00
24067,20.00
24027,15.00
24055,335.00
24005,17.00
23765,14.00
23769,17.00
23755,15.00
23744,29.00
23783,20.00
24651,14.00
24633,14.00
24626,15.00
24611,18.00
24669,18.00
24635,22.00
24635,15.00
24638,18.00
23874,18.00
23809,18.00
23883,17.00
23862,17.00
23816,100.00
23852,20.00
23842,17.00
23853,17.00
23853,14.00
23881,18.00
23885,12.00
23889,10.00
24503,14.00
24451,25.00
24458,20.00
24462,15.00
24480,20.00
24437,13.00
24470,20.00
24495,14.00
24506,11.00
24493,16.00
24969,13.00
24980,10.00
24978,12.00
25012,16.00
24953,20.00
24991,14.00
24901,15.00
24893,18.00
24903,18.00
24914,18.00
24922,18.00
24935,13.00
24918,20.00
24951,18.00
24687,13.00
24768,16.00
24696,250.00
24691,18.00
24751,13.00
24763,17.00
24765,16.00
24784,15.00
24854,5.00
24813,14.00
24860,20.00
24811,18.00
24857,10.00
24809,17.00
24824,13.00
24841,20.00
24778,16.00
24242,19.00
24207,14.00
24221,19.00
24238,11.00
24249,23.00
24253,14.00
24243,20.00
24258,17.00
24254,14.00
24222,18.00
24245,25.00
25034,18.00
25092,14.00
25073,18.00
25056,15.00
25105,14.00
25101,19.00
23938,18.00
23897,13.00
23931,14.00
23966,18.00
23959,13.00
23949,10.00
23968,15.00
23906,14.00
23950,11.00
23921,14.00
24548,13.00
24572,13.00
24537,13.00
24562,16.00
24523,23.00
24511,14.00
24569,20.00
24534,20.00
24561,31.00
