event_id,artist_id
24687,105
24726,121
24706,323
24743,668
24688,994
24767,779
24745,382
24745,548
24756,141
24696,36
24721,38
24730,388
24691,852
24739,696
24754,180
24744,276
24699,412
24779,14
24852,492
24837,24
24857,134
24838,107
24782,924
24816,38
24774,105
24841,618
24204,36
24216,377
24257,980
24181,289
24183,297
24249,962
24243,877
24174,127
24250,434
24200,714
24210,104
24236,423
24254,553
24186,311
25039,620
25074,209
25088,63
25081,453
25053,506
23899,32
23928,840
23926,158
23903,30
23933,37
23949,26
23908,664
23906,42
23939,199
23936,130
23967,336
24532,191
24589,629
24599,269
24577,549
24553,99
24545,136
24518,494
24075,941
24137,155
24103,967
24084,849
24119,99
24087,16
24099,400
24303,37
24337,886
24314,248
24265,14
24318,241
24309,509
24336,78
24341,535
24277,150
24274,726
24430,530
24403,179
24388,596
24390,74
24348,641
24373,338
24421,89
24362,155
24376,205
24376,224
24428,336
24434,822
24392,137
24426,44
24413,790
24003,42
24035,37
24012,314
24022,99
24065,627
24037,38
23977,4
24009,123
24018,36
24045,194
24036,37
24042,275
23799,325
23741,385
23784,292
23776,293
23783,844
23719,289
23721,322
23740,79
23786,427
23723,14
23750,45
24650,38
24665,180
24668,24
24678,688
24677,901
24638,327
24639,684
24652,10
23877,858
23834,187
23870,416
23825,975
23826,773
23880,710
23806,726
23891,483
23840,660
23856,98
23855,37
24471,232
24492,986
24484,117
24505,44
24437,249
24467,121
24490,30
24479,653
24491,763
25020,157
25015,911
25031,4
24990,673
25008,194
24975,339
24953,571
24955,948
24955,493
24908,99
24905,121
24889,416
24876,874
24928,510
24948,4
24885,46
24892,123
24716,558
24688,988
24688,850
24690,127
24704,91
24689,249
24722,189
24755,24
24693,846
24696,686
24753,89
24719,158
24737,37
24808,184
24773,105
24784,32
24780,748
24819,117
24786,21
24805,649
24857,18
24809,458
24838,907
24839,128
24777,127
24255,45
24255,295
24176,280
24182,804
24194,455
24193,203
24193,206
24224,416
24218,53
24189,510
25036,948
25051,187
25092,17
25072,165
25088,22
25080,34
25047,46
25079,110
25106,873
25075,37
25102,965
23934,38
23962,44
23973,486
23964,44
23939,179
23950,26
23952,183
23918,760
23946,997
24516,14
24547,60
24547,365
24596,151
24596,524
24574,219
24576,120
24568,161
24568,151
24514,6
24556,253
24556,829
24581,429
24585,2
24080,482
24137,428
24138,399
24095,337
24150,371
24116,591
24147,740
24147,882
24101,540
24164,886
24079,32
24091,68
24111,158
24266,14
24290,1001
24293,36
24301,9
24301,5
24310,335
24286,541
24281,435
24342,872
24317,643
24347,316
24334,44
24358,30
24389,791
24429,993
24403,199
24411,117
24360,378
24362,428
24423,313
24413,399
23988,317
24026,593
24059,916
24039,661
24064,837
24064,834
23982,105
24058,487
23983,113
23985,431
23769,749
23720,289
23775,269
23737,230
23753,775
23731,32
23801,132
23761,714
24631,262
24676,768
24648,37
24619,3
24626,586
24683,700
24663,732
24613,432
24643,253
24655,117
24677,908
24630,506
24630,383
24642,388
24627,586
24649,37
23867,194
23893,340
23836,794
23876,429
23857,592
23870,394
23854,110
23873,18
23840,651
23852,689
23842,755
23881,243
23837,8
23869,176
23872,120
23885,476
24509,729
24443,32
24482,653
24457,760
24479,665
24504,56
25018,237
24976,182
25022,147
24995,10
24967,261
24990,678
24997,472
24972,337
24979,60
24979,365
24958,376
24908,373
24887,52
24934,469
24909,74
24910,253
24935,2
24950,269
24946,328
24927,892
24706,586
24724,158
24749,197
24701,337
24702,832
24736,33
24745,536
24769,124
24762,309
24764,112
24708,760
24766,145
24759,284
24751,379
24752,89
24752,94
24763,930
24711,48
24829,742
24799,915
24798,36
24796,7
24860,569
24809,464
24814,259
24839,142
24816,37
24194,505
24197,356
24177,704
24190,752
24217,162
24254,551
24180,199
24195,48
25076,110
25084,192
25041,289
25086,292
25070,156
25072,883
25042,289
25055,363
25082,838
25097,972
25056,260
25057,262
25077,37
25077,619
25067,193
25101,710
25104,826
23965,589
23956,2
23959,54
23914,311
23929,327
23933,38
23961,44
23961,949
23908,1
23920,301
23937,77
23937,90
23918,775
23951,298
23910,902
23946,1003
23971,360
24546,660
24570,399
24571,26
24578,575
24596,528
24528,726
24535,947
24538,91
24515,60
24549,478
24529,289
24117,99
24166,755
24095,311
24094,311
24149,152
24156,44
24160,287
24110,743
24110,727
24134,533
24091,385
24082,412
24130,199
24145,423
24295,36
24290,196
24290,999
24264,431
24299,121
24296,36
24273,620
24262,105
24277,630
24289,666
24316,680
24368,167
24377,211
24393,1131
24370,973
24370,987
24427,671
24398,77
24372,382
24372,507
24000,3
24031,37
24032,33
24012,921
24067,269
24016,423
23990,199
24063,876
24037,37
24055,24
24014,459
24038,25
24036,38
23984,106
24042,4
23779,162
23773,99
23783,399
23752,198
23740,68
23722,745
23753,760
23767,36
23760,356
23763,60
23763,365
24650,37
24644,570
24676,755
24680,112
24657,81
24624,311
24605,706
24611,482
24608,453
23874,423
23811,27
23809,14
23825,723
23826,774
23817,30
23887,761
23849,174
23853,10
23881,500
24468,1
24509,735
24444,87
24487,416
24465,23
24477,300
24438,903
24457,775
25026,873
24984,88
24982,36
25003,272
24917,300
24913,697
24916,40
24870,49
24909,293
24906,121
24919,228
24907,381
24867,249
24912,845
24918,895
24945,486
24878,726
24724,425
24688,1006
24714,356
24746,292
24728,121
24731,951
24760,287
24691,861
24727,121
24707,769
24713,356
24751,222
24695,236
24834,65
24858,653
24859,316
24812,388
24850,518
24790,527
24794,975
24857,145
24797,572
24831,289
24844,302
24257,316
24209,202
24252,873
24172,299
24205,305
24246,154
24228,263
24250,178
24200,814
24232,342
25059,356
25073,711
25064,441
23938,228
23897,27
23931,165
23913,221
23973,255
23963,44
23963,949
23924,36
23917,198
23916,187
24572,342
24524,30
24569,761
24553,193
24586,24
24550,97
24594,84
24598,186
24517,982
24522,49
24090,46
24077,49
24158,824
24110,751
24108,36
24143,867
24312,805
24330,2
24304,38
24276,191
24407,708
24359,289
24354,32
24433,243
24360,391
24393,1132
24432,701
24391,200
24383,189
24381,334
24011,163
24050,444
24061,886
24006,337
23997,289
24010,517
24029,446
23978,289
24027,570
24030,848
23995,289
24066,631
24009,45
23981,628
24005,729
24048,285
24019,158
23785,529
23799,715
23771,471
23771,481
23780,77
23789,89
23789,94
23743,557
23772,383
23739,35
23801,122
23749,973
23749,987
24616,692
24651,33
24626,416
24675,273
24627,416
23835,441
23811,341
23815,236
23847,99
23861,275
23875,585
23843,60
23843,365
23888,559
23866,950
23884,943
24483,117
24500,24
24466,104
24462,36
24477,310
24506,147
25002,276
25013,22
25013,15
24989,121
25004,26
25011,427
24968,652
24963,254
24963,244
24985,158
24954,571
24957,431
24974,506
25000,117
24883,3
24917,310
24890,177
24884,435
24901,36
24897,1036
24864,706
24882,191
24880,841
24942,287
24866,249
24930,176
24951,584
24688,996
24734,707
24745,139
24768,316
24762,307
24708,799
24761,374
24720,158
24692,49
24753,180
24739,699
24808,777
24832,30
24832,114
24780,734
24848,154
24789,289
24840,29
24776,14
