weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[36],389,[],1987-03-22,1987-03-24,March 22-24,grateful-dead-hampton-coliseum-1987-03-22,599836,,41400,,,1,"[15.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
2,,"[289, 337]",151,[],1987-03-23,1987-03-24,March 23-24,bon-jovi-the-omni-atlanta-1987-03-23,490777,,31663,,,1,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
3,,[36],35,[],1987-03-26,1987-03-27,March 26-27,grateful-dead-hartford-civic-center-1987-03-26,486724,,32145,,,1,"[15.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
4,,[7],362,[],1987-03-26,1987-03-29,March 26-29,david-copperfield-fox-theatre-1987-03-26,336725,,22995,,,,[23.9],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
5,,[412],428,[],1987-03-27,1987-03-27,March 27,billy-joel-dean-smith-center-1987-03-27,311693,,20164,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
6,,[121],13,[],1987-03-26,1987-03-26,March 26,huey-lewis-the-news-market-square-arena-1987-03-26,297185,,16982,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
7,,"[121, 480]",886,[],1987-03-27,1987-03-27,March 27,huey-lewis-the-news-the-rosemont-horizon-rosemont-1987-03-27,283814,,16577,,,1,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
8,,[121],395,[],1987-03-23,1987-03-23,March 23,huey-lewis-the-news-the-arena-1987-03-23,279626,,17465,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
9,,"[99, 474]",430,[],1987-03-28,1987-03-28,March 28,iron-maiden-the-meadowlands-arena-1987-03-28,260768,,16396,,,,"[16.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
10,,[453],59,[],1987-03-19,1987-03-22,March 19-22,anita-baker-holiday-star-theatre-1987-03-19,250460,,13344,,,1,[19.95],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
11,,[87],395,[],1987-03-22,1987-03-22,March 22,bill-cosby-the-arena-1987-03-22,243337,,14601,,,,"[18.5, 16.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
12,,"[289, 337]",329,[],1987-03-27,1987-03-27,March 27,bon-jovi-civic-arena-1987-03-27,224455,,16282,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
13,,[412],431,[],1987-03-26,1987-03-26,March 26,billy-joel-charlotte-coliseum-ovens-auditorium-1987-03-26,194058,,11089,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
14,,"[289, 337]",431,[],1987-03-25,1987-03-25,March 25,bon-jovi-charlotte-coliseum-ovens-auditorium-1987-03-25,189915,,12900,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
15,,[3],387,[],1987-03-28,1987-03-28,March 28,chicago-the-centrum-in-worcester-worcester-1987-03-28,178541,,11200,,,,"[16.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
16,,"[99, 474]",45,[],1987-03-30,1987-03-30,March 30,iron-maiden-providence-civic-center-1987-03-30,150206,,10359,,,1,[14.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
17,,[478],432,[],1987-03-24,1987-03-24,March 24,huey-lewis-the-news-siu-arena-1987-03-24,148572,,9925,,,1,"[16.0, 14.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
18,,"[427, 430]",171,[],1987-03-27,1987-03-27,March 27,pretenders-cobo-arena-1987-03-27,106755,,7117,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
19,,"[471, 481]",85,[],1987-03-17,1987-03-17,March 17,howie-mandel-syria-mosque-pittsburgh-1987-03-17,103206,,7000,,,1,[14.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
20,,"[99, 474]",13,[],1987-03-19,1987-03-19,March 19,iron-maiden-market-square-arena-1987-03-19,101849,,7161,,,,"[15.0, 14.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
21,,[3],169,[],1987-03-14,1987-03-14,March 14,chicago-west-palm-beach-auditorium-1987-03-14,98525,,5854,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
22,,"[99, 474]",433,[],1987-03-07,1987-03-07,March 7,iron-maiden-the-kiel-auditorium-1987-03-07,96889,,6871,,,,[14.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
23,,"[154, 472, 485]",887,[],1987-03-22,1987-03-22,March 22,temptations-new-newark-symphony-hall-1987-03-22,94000,,4800,,,1,"[22.5, 20.0, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
24,,"[136, 423, 448]",43,[],1987-03-29,1987-03-29,March 29,george-jones-rupp-arena-1987-03-29,91451,,6947,,,,"[13.75, 12.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
25,,"[30, 394]",435,[],1987-03-29,1987-03-29,March 29,ratt-walker-arena-1987-03-29,91301,,5987,,,,"[16.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
26,,[473],83,[],1987-02-15,1987-02-15,Feb 15,emmanuell-james-l-knight-international-center-1987-02-15,84743,,4180,,,,"[27.0, 23.0, 16.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
27,,"[136, 423, 448]",436,[],1987-03-28,1987-03-28,March 28,george-jones-asheville-civic-center-1987-03-28,82306,,6047,,,1,"[14.0, 13.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
28,,"[482, 479]",83,[],1987-03-08,1987-03-08,March 8,bb-king-james-l-knight-international-center-1987-03-08,81795,,4941,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
29,Wynf Birthday Party,[470],437,[],1987-03-20,1987-03-20,March 20,wynf-birthday-party-expo-hall-florida-state-fair-&-expo-park-1987-03-20,79500,,10000,,,1,[7.95],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
30,,[483],438,[],1987-03-17,1987-03-17,March 17,wayne-newton-arena-ocean-center-1987-03-17,79431,,4966,,,,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
31,,"[471, 481]",439,[],1987-03-28,1987-03-28,March 28,howie-mandel-fox-theatre-1987-03-28,78870,,4780,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
32,,"[89, 486]",421,[],1987-03-27,1987-03-27,March 27,reo-speedwagon-centennial-hall-1987-03-27,76291,,5222,,,,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
33,,[3],440,[],1987-03-16,1987-03-16,March 16,chicago-arena-1987-03-16,73980,,5256,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
34,,[7],441,[],1987-03-23,1987-03-23,March 23,david-copperfield-theatre-1987-03-23,72281,,4904,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
35,,[483],169,[],1987-03-18,1987-03-18,March 18,wayne-newton-west-palm-beach-auditorium-1987-03-18,72002,,4064,,,,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
36,,[],442,[],1987-03-13,1987-03-14,March 13-14,None-wiltern-theatre-1987-03-13,65610,,4400,,,1,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
37,,"[475, 476]",443,[],1987-03-14,1987-03-14,March 14,the-jets-sam-houston-coliseum-civic-center-1987-03-14,62068,,6258,,,,"[11.95, 8.95]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
38,,"[435, 423]",444,[],1987-03-26,1987-03-26,March 26,conway-twitty-showcase-theatre-1987-03-26,57443,,4599,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
39,,"[199, 477, 436]",445,[],1987-03-06,1987-03-06,March 6,beastie-boys-theatre-1987-03-06,55840,,3920,,,,"[14.5, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
40,,"[484, 487]",359,[],1987-03-07,1987-03-08,March 7-8,sam-kinison-westport-playhouse-st-louis-1987-03-07,55755,,3252,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/04/Billboard-1987-04-11.pdf
