weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,Van Halen's Monsters Of Rock,"[631, 284, 45, 145, 627]",541,[],1988-07-24,1988-07-24,July 24,van-halen-s-monsters-of-rock-los-angeles-duly-coliseum-1988-07-24,1943900,,80144,,,1,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
2,,"[624, 615]",204,[],1988-07-05,1988-07-07,July 5-7,julec-iglesias-garden-state-arts-center-1988-07-05,484305,,16761,,,,"[36.0, 25.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
3,,"[618, 489]",472,[],1988-07-22,1988-07-23,July 22-23,squeeze-jones-beach-theatre-1988-07-22,400000,,20000,,,1,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
4,,"[614, 628]",542,[],1988-07-17,1988-07-17,July 17,aerosmeth-poplar-creek-music-theatre-1988-07-17,348714,,23674,,,,"[20.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
5,,"[423, 640]",908,[],1988-07-16,1988-07-16,July 16,randy-travis-olympic-saddledome-calgary-donald-k-donald-perryscope-concert-special-moments-1988-07-16,341692,,16768,,,,[25.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
6,,"[105, 571]",344,[],1988-07-19,1988-07-19,July 19,aerosmith-richfield-coliseum-1988-07-19,303835,,17819,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
7,,[287],909,[],1988-07-15,1988-07-15,July 15,sting-olympic-saddledome-calgary-1988-07-15,288889,,14428,,,,[25.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
8,,"[629, 633]",709,[],1988-07-20,1988-07-20,July 20,steve-winwood-shoreline-amphitheatre-1988-07-20,288139,,16482,,,,"[18.5, 16.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
9,Budweiser Superfest,"[630, 463, 150, 321, 621]",3,[],1988-07-23,1988-07-23,July 23,budweiser-superfest-reunion-arena-1988-07-23,287251,,14367,,,,"[22.75, 21.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
10,,"[586, 636]",545,[],1988-07-18,1988-07-18,July 18,def-leppard-indiana-state-fairgrounds-1988-07-18,286200,,16740,,,1,"[20.0, 17.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/08/BB-1988-08-13.pdf
