weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[32],624,[],1989-05-14,1989-05-14,May 14,barry-manilow-gershwin-theatre-1989-05-14,1885840,,42320,,,,"[50.0, 42.5, 35.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
2,World Series Of Rock,"[394, 766, 416, 729, 735]",625,[],1989-05-27,1989-05-28,May 27-28,world-series-of-rock-alpine-valiey-music-theatre-1989-05-27,879741,,36213,,,,"[32.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
3,Cocacola Classic,"[773, 759, 774]",626,[],1989-05-27,1989-05-09,May 27 9,cocacola-classic-atlanta/fulton-co-stadium-1989-05-27,777568,,39899,,,,"[25.0, 22.5, 20.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
4,,[24],922,[],1989-05-23,1989-05-25,May 23-25,rod-stewart-halifax-metro-center-1989-05-23,759993,,23415,,,,[32.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
5,,"[289, 726]",628,[],1989-06-02,1989-06-02,June 2,bon-jovi-grandstand-1989-06-02,431883,,21312,,,,"[25.0, 21.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
6,,[24],587,[],1989-05-31,1989-06-01,May 31-June 1,rod-stewart-mann-music-center-1989-05-31,383364,,21601,,,1,"[24.5, 20.5, 16.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
7,,"[764, 770]",63,[],1989-05-28,1989-05-28,May 28,bon-jovl-joe-louis-arena-1989-05-28,357540,,17877,,,,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
8,,[24],258,[],1989-06-02,1989-06-02,June 2,rod-stewart-nassau-veterans-memorial-coliseum-1989-06-02,340000,,17000,,,1,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
9,,[55],298,[],1989-06-03,1989-06-03,June 3,julio-iglesias-copps-coliseum-1989-06-03,319569,,12000,,,,"[35.0, 32.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
10,,[569],31,[],1989-06-02,1989-06-02,June 2,kenny-g-radio-city-musi¢-hall-1989-06-02,273005,,11788,,,1,"[25.0, 22.5, 20.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
11,,[767],629,[],1989-06-01,1989-06-01,June 1,sulig-iglesias-montreal-forum-montreal-canadian)-1989-06-01,228629,,9839,,,,"[32.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/06/BB-1989-06-17.pdf
