weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[326, 380]",26,[],1987-02-07,1987-02-09,Feb 7-9,bob-seger-the-silver-mcnichols-sports-arena-1987-02-07,673818,,38864,,,,"[17.6, 16.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
2,,[362],361,[],1987-01-21,1987-01-23,Jan 21-23,journey-george-m-sullivan-sports-arena-1987-01-21,539290,,23973,,,1,"[23.5, 21.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
3,,[424],362,[],1987-01-27,1987-02-01,Jan 27-Feb 1,peter-allen-the-rockettes-fox-theatre-1987-01-27,336785,,26909,,,,"[18.5, 15.5, 12.5, 6.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
4,,"[326, 380]",363,[],1987-01-27,1987-01-27,Jan 27,bob-seger-the-silver-british-columbia-place-stadium-1987-01-27,312344,427859,20989,,,1,"[21.0, 19.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
5,,[412],9,[],1987-02-05,1987-02-05,Feb 5,billy-joel-crisler-arena-1987-02-05,236233,,13499,,,1,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
6,,[7],162,[],,,,david-copperfield-sunrise-musical-theatre-None,212000,,11777,,,,[18.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
7,,"[99, 388]",323,[],1987-02-06,1987-02-06,Feb 6,iron-maiden-menichols-arena-1987-02-06,191257,,12282,,,,"[15.95, 14.85, 13.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
8,,"[158, 38, 425]",364,[],1987-02-08,1987-02-08,Feb 8,hank-williams-jr-kentucky-fair-&-exposition-center-1987-02-08,153947,,10617,,,1,[14.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
9,,[121],365,[],1987-02-03,1987-02-03,Feb 3,huey-lewis-the-news-tampa-sun-dome-1987-02-03,149078,,9380,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
10,,"[311, 416]",366,[],1987-01-31,1987-01-31,Jan 31,david-lee-roth-dayton-hara-arena-&-exposition-center-1987-01-31,117203,,7811,,,1,[5.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1987/02/Billboard-1987-02-21.pdf
