artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['SAMMY BUFFETT & THE', 'CORAL REEFER BANO-', 'FINGERS TAYLOR & THE', 'LADYFINGER REVUE']",['July 21'],564575.0,,,,,1.0,['cac'],['25'],"['Cary Field', 'College of', 'William & Mary', 'Williamsburg,', 'va,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['MC. HAMMER', 'BANGIEB']",['Aug. 3'],72820.0,,,,,,"['in-house', '30,846']",['25/22.50/18'],"['Grandstand', 'California', 'State Fair']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['LOLLAPALOOZA:', 'SIOUXSIE & THE BANSHEES', 'UVING COLOUR', 'MINE INCH NAILS.', 'IET', 'BUTTHOLE SURFERS, HENRY', 'ROLLINS BAND']",['Aug. 17'],401284.0,,19494.0,,,,"['Sony Music', '20,000 PACE Concerts']",['25/20/13.25'],"[""Hardee's Walnut"", ""JANE'S ADDICTION Creek"", 'Amphitheatre Cellar Door Prods.', 'Raleigh, N.C.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['NEWPORT JAZZ FESTIVAL:', 'WYNTON MARSALIS', 'REGINA BELLE', 'BOBBY WATSON', 'TAKES', 'ROBERT CRAY', 'BB. KING, JOHN LEE', 'HOOKER']",['Aug. 17-18'],,,,,,,"['13,666 Ron Delsener', '(17TH)', '20,000 Enterprises', '(18TH)']",['25'],"['Jones Beach', 'Theatre', 'Wantagh, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['STEVE MILLER', 'ERIC JOHNSON']",['Aug. 9'],289185.0,,15900.0,,,1.0,['Avalon Attractions'],"['25/22.50/', '20/17.50']","['Ivine Meadows', 'Amphitheatre', 'Irvine, Calif,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['JNM BUFFETT & THE', 'CORAL REEFER BAND', 'FINGERS TAYLOR & THE', 'LADYFINGER REVUE']",['Aug. 13'],288719.0,,12946.0,,,1.0,['Electric Factory'],"['35/825/', '18/13.50']","['Mann Music', 'Center', 'Philadelphia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['GLORIA ESTEFAN', 'CHASELSTNER']",['Aug. 14'],280920.0,,11573.0,,,,"['Tinley Park Jam', '15,000 Corp.']",['30/25/15'],"['World Music', 'Theatre', 'Tinley Park, Il']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['MM BUFFETT & THE', 'CORAL REEFER BAND', 'FINGERS TAYLOR & THE', 'LADYFINGER REVUE']",['Aug. 14'],254900.0,,10196.0,,,1.0,['Ron Delsener'],['25'],"['Jones Beach', 'Theatre', 'Wantagh, NLY.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['GEORGE STRAIT', 'KATHY MATTEA']",['Aug.9'],233465.0,,5223.0,,,1.0,['in-house'],['18/15/13'],"['Grandstand', 'California', 'State Fair']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
"['BONME RATT', 'CHRIS ISAAK']",['Aug. 16'],222208.0,,12147.0,,,,"['Hlectric Factory', '12,946 Concerts']","['30/25/', '17.50/12.50']","['Mann Music', 'Center', 'Philadelphia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1991/08/BB-1991-08-31.pdf
