weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[643],258,[],1988-08-19,1988-08-23,Aug 19-23,park-floyd-nassau-veterans-memorial-coliseum-1988-08-19,1796550,,71862,,,1,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
2,,"[651, 650, 649]",554,[],1988-08-27,1988-08-27,Aug 27,george-michael-exhibition-stadium-1988-08-27,996287,,45289,,,1,[26.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
3,,"[105, 571]",295,[],1988-08-24,1988-08-26,Aug 24-26,aerosmith-great-woods-center-1988-08-24,794606,,45780,,,1,"[20.5, 16.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
4,,[24],554,[],1988-08-28,1988-08-28,Aug 28,rod-stewart-exhibition-stadium-1988-08-28,518259,,24721,,,1,"[26.25, 22.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
5,,[287],555,[],1988-08-24,1988-08-24,Aug 24,sting-arena-1988-08-24,422233,,19825,,,,"[22.5, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
6,,"[105, 571]",449,[],1988-08-28,1988-08-28,Aug 28,aerosmith-buckeye-lake-music-center-1988-08-28,351094,,19137,,,,"[20.0, 18.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
7,,"[591, 646, 653]",178,[],1988-08-11,1988-08-11,Aug 11,inxs-meadowlands-arena-1988-08-11,314760,,17274,,,,"[18.5, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
8,,[24],911,[],1988-08-22,1988-08-22,Aug 22,rod-stewart-olympic-saddtedome-calgary-donald-k-donald-perryscope-concert-1988-08-22,310541,,15625,,,1,"[25.5, 24.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
9,,"[46, 653]",178,[],1988-08-08,1988-08-08,Aug 8,crosby-stills-nash-meadowlands-arena-1988-08-08,281982,,15482,,,1,"[18.5, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
10,,"[644, 641]",912,[],1988-08-23,1988-08-23,Aug 23,808-dylan-olympic-saddledome-concert-calgary-aiberta-donaid-k-donald-concert-international-1988-08-23,270551,,12893,,,,"[26.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
11,,"[283, 654]",177,[],1988-08-20,1988-08-20,Aug 20,ac-birmingham-jefferson-civic-center-1988-08-20,264083,,264083,,,1,[16.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
12,,"[283, 648]",120,[],1988-08-25,1988-08-25,Aug 25,ac-charlotte-coliseum-1988-08-25,258458,,14768,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
13,,[24],558,[],1988-08-20,1988-08-20,Aug 20,rod-stewart-coliseum-pacific-exhibition-park-1988-08-20,251148,,12444,,,1,"[26.5, 24.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
14,,"[652, 642]",554,[],1988-08-17,1988-08-17,Aug 17,bryan-ferry-exhibition-stadium-1988-08-17,233285,,14000,,,,"[23.75, 19.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
15,,"[283, 654, 626]",559,[],1988-08-27,1988-08-27,Aug 27,ac-greensboro-coliseum-1988-08-27,226413,,13619,,,,"[17.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
16,,"[591, 647]",389,[],1988-08-23,1988-08-23,Aug 23,inxs-hampton-coliseum-1988-08-23,211805,,13800,,,1,"[16.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
17,,[276],554,[],1988-08-18,1988-08-18,Aug 18,neil-young-exhibition-stadium-1988-08-18,205945,,12000,,,,"[24.75, 20.25]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
18,,[121],554,[],1988-08-25,1988-08-25,Aug 25,huey-lewis-the-news-exhibition-stadium-1988-08-25,205405,,10144,,,,"[24.75, 20.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
19,,"[620, 641]",913,[],1988-08-24,1988-08-24,Aug 24,bob-dylan-coliseum-1988-08-24,204722,,9819,,,,"[26.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
20,,"[591, 645]",561,[],1988-08-28,1988-08-28,Aug 28,inxs-cincinnati-riverfront-coliseum-1988-08-28,201025,,11825,,,,[17.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
21,,[287],472,[],1988-08-25,1988-08-25,Aug 25,sting-jones-beach-theatre-1988-08-25,200000,,16000,,,1,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
22,,[253],562,[],1988-08-13,1988-08-13,Aug 13,jimmy-buffett-seattle-center-arena-1988-08-13,180523,,10224,,,,[18.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
23,,"[620, 641]",563,[],1988-08-21,1988-08-21,Aug 21,bob-dylan-coliseum-pacific-national-exhibition-park-1988-08-21,173752,,8320,,,,"[26.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
24,,[276],472,[],1988-08-27,1988-08-27,Aug 27,neil-young-jones-beach-theatre-1988-08-27,170000,,8500,,,,[20.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
25,,"[283, 654]",50,[],1988-08-21,1988-08-21,Aug 21,ac-municipal-auditorium-1988-08-21,169645,,9694,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1988/09/BB-1988-09-10.pdf
