artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['BILLY JOEL'],"['Jan, 11-12']",661325.0,,37782.0,,,1.0,['Belkin Prods.'],['17.50'],"['Richfield Coliseum', 'Richfield, Ohio', '_']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['BOB SEGER & THE SILVER', 'BULLET BAND', 'GEORGIA SATELLITES']","['Jan, 10-11']",455119.0,,28546.0,,,1.0,['Evening Star Prods.'],['16/815'],"['Arizona Veterans Memorial', 'Coliseum & Fairgrounds', 'Phoenix, Ariz.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD', 'COMBO']","['Jan, 12-13']",453068.0,,24618.0,,,1.0,['Avalon Attractions'],['18.50/817'],"['The Forum', 'Inglewood, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['DAVID LEE ROTH', 'TESLA']",['Jan. 15'],279708.0,,19487.0,,,1.0,['Monarch Entertainment Bureau'],['17.50/15.50'],"['Meadowlands Arena & Giants', 'Stadium', 'Scher Presents', 'East Rutherford, NJ.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
['BILLY JOEL'],['Jan. 15'],279415.0,,16060.0,,,1.0,['Dicesare-Engler Presents'],['17.50'],"['Civic Arena & Exhibit Hall,', 'Pittsburgh, Pa.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['BON JOVI', 'CINDERELLA']","['Jan, 14']",224028.0,,16002.0,,,1.0,['Evening Star Prods.'],['15/S14'],"['Arizona Veterans Memorial', 'Coliseum & Fairgrounds', 'Phoenix, Ariz.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['IRON MAIDEN', ""YNGWIE MALMSTEEN'S RISING"", 'FORCE']","['Jan. 13', '515/513']",223436.0,,15405.0,,,1.0,['Electric Factory Concerts'],[],"['The Spectrum', 'Philadelphia, Pa.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD', 'COMBO']",['Jan.9'],197435.0,,11802.0,,,1.0,['Fahn & Silva Presents'],['17.50'],"['San Diego Sports Arena', 'San Diego, Calif']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['JRON MAIDEN', ""YNGWIE MALMSTEEN'S RISING"", 'FORCE']",['jan.8'],182947.0,,11803.0,,,,"['Cellar Door Prods.', '14,500']",['15.50'],"['Capital Centre', 'Landover, Md']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
['DAVID LEE ROTH'],['Jan. 16'],172198.0,,11190.0,,,1.0,['Don Law Co.'],['16.50'],"['Providence Civic Center,', 'ee Providence, RI.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['BON JOVI', 'CINDERELLA']",['Jan. 13'],129125.0,,9562.0,,,1.0,['Evening Star'],['15/13.50'],"['Tucson Community Center Arena,', 'Tucson, Ariz.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
"['GEORGE STRAIT', 'KEITH WHITLEY']",['Jan. 17'],120585.0,,8038.0,,,1.0,['Varnell Enterprises'],['15'],"['Lake Charles Civic Center', 'Lake Charles, La.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-31.pdf
