artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['BOB SEGER & THE SILVER', 'BULLET BAND', 'GEORGIA SATELLITES']","['Jan5-6, 8']",828261.0,,214.0,,,,"['Eric/Chandler Ltd.', '48,000']",['18/17'],"['The Forum', 'Anglewood, Calif.', '{__']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['BON JOVI', 'CINDERELLA']",['Jan.9'],249621.0,,16995.0,,,1.0,['Feyline Presents'],['15.40/14.30/13.20'],"['MeNichols Arena', 'Denver, Colo.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['OAK RIDGE BOYS', 'SWEETHEARTS OF THE RODEO']","['Dec. 31-Jan, 3']",232832.0,,15088.0,,,,"['in-house', '17,000']",['16'],"['Holiday Star Theatre', 'Merrillville, Ind.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['KENNY ROGERS ARCO', 'EDDIE RABBITT', 'T. GRAHAM BROWN:']",['Jan. 4'],209679.0,,10774.0,,,1.0,['Music Futures Presents'],['19.50'],"['Arena', 'Sacramento, Calif.', 'iL']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['HUEY LEWIS & THE NEWS.', 'BONNIE HAYES & THE WILD', 'COMBO']",['Jan.7'],179821.0,,11259.0,,,,"['Evening Star Prods.', '12,000']",['16/15'],"['Arizona Veterans Memorial', 'Coliseum & Fairgrounds', 'Pheonix, Ariz.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
['OINGO BOINGO'],['Dec. 26-28'],175000.0,,11700.0,,,,"['Avalon Attractions', '13,200']",['15'],"['Hollywood Palladium', 'Hollywood, Calif.', '___}']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['HUEY LEWIS & THE NEWS', 'BONNIE HAYES & THE WILD']",['Jan. 11'],164010.0,,9940.0,,,,"['Beaver Prods.', '11,000']",[],"['Thomas & Mack Center', 'Univ. of Nevada at Las Vegas', 'comBo Las Vegas, Nev.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['KENNY ROGERS', 'EDDIE RABBITT', 'T. GRAHAM BROWN']",['Jan7'],160044.0,,9994.0,,,,"['North American Tours', '15,264']",['16.50/13.50'],"['Seattle Center', 'Seattle, Wash.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['KENNY ROGERS', 'EDDIE RABBITT', 'T. GRAHAM BROWN']",['Jan. 6'],143520.0,,9428.0,,,,"['North American Tours', '12,954']",['16.50/13.50'],"['Memorial Coliseum Complex', 'Portland, Ore.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
"['IRON MAIDEN', 'YNGWIE MALMSTEEN’S RISING', 'FORCE']",['Jan. 9'],144166.0,,10055.0,,,,"['Dicesare-Engler Prods.', '12,500']",['1475'],"['Civic Arena', 'Pittsburgh, Pa.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1987/01/Billboard-1987-01-24.pdf
