artists,dates,gross_receipts_us,gross_receipts_canadian,tickets_sold,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['BRUCE SPRINGSTEEN'],"['Oct, 21-22']",436272.0,,27267.0,,,2.0,['Bill Graham Presents'],['16'],"['Oakland Coliseum', 'Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['DOUG HENNING'],['Oct. 16-21'],401678.0,,,,8.0,4.0,['~ Ray Shepardson'],['4.90-17.90'],"['Fox Theater', 'St. Louis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['ALABAMA', 'JUICE NEWTON']",['Oct. 14'],271436.0,,17512.0,,,1.0,['Salem Concerts/Keith'],['15.50'],"['Reunion Arena', 'Dallas', 'Productions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['RICK SPRINGFIELD', 'COREY HART']",['Oct. 6'],239237.0,,16183.0,,,,['Avalon Attractions'],['15 & $12.50'],"['The Forum', 'Inglewood, Calif.', 'sellout Jam Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['PATTI LABELLE'],['Oct. 9-13'],216352.0,,12500.0,,,,['Mare Corwin/That’s'],['20/17'],"['Lyric Opera House', 'Baltimore', 'Entertainment Inc.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['ALABAMA'],['Oct. 19'],203277.0,,15502.0,,,,['Satem Concerts/Keith'],['13.50'],"['Frank Erwin Center', 'Austin', 'Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['RICK SPRINGFIELD'],['Oct. 7-8'],197300.0,,16950.0,,,2.0,['Mederlander'],['12.50'],['Concord (Calif.) Pavilion'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
"['SAMMY HAGAR', 'KROKUS.']",['Oct. 20-21'],196087.0,,16046.0,,,2.0,['Blue Suede Shows.'],['12.50'],"['Wings Stadium', 'Kalamazoo, Mich']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['BARRY MANILOW'],['Oct. 19'],190095.0,,12582.0,,,1.0,['Brass Ring Prods.'],['17.50/15'],"['Crister Arena', 'Ann Arbor, Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['ALABAMA'],['Oct. 12'],188666.0,,12172.0,,,,"['Salem Concerts/Keith', '(13,200 Fowler Promotions']",['15.50'],['Convention Center'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['ROD STEWART'],['Oct.7'],179172.0,,13132.0,,,,['Fantasma Prods.'],['4'],['Hollywood (Fta.) Sportatorium'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['LIONEL RICHIE BSU'],['Oct. 10'],164694.0,,11803.0,12045.0,,,['United Concerts.'],['15'],"['Pavilion', 'Boise, Idaho']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['SAMMY HAGAR'],['Oct. 17'],141280.0,,,13500.0,,,['Sunshine Promotions'],['11.40/10.50'],"['Market Square Arena', 'Indianapolis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
['GEORGE BENSON'],['Oct.7'],136569.0,,10358.0,15000.0,,,['Avalon Attractions.'],['16.50/15/9.50'],"['Irvine Meadows Amphitheatre', 'Laguna Hills, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-03.pdf
