artists,dates,gross_receipts_us,gross_receipts_canadian,tickets_sold,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['BARRY MANILOW'],['Oct. 30-Nov.8'],1896635.0,,58740.0,,,10.0,['In-House'],['35/30/25'],"['Radio City Musi¢ Hall', 'New York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['TOM JONES:', 'GEORGE WALLACE']",['Nov. 6-11'],526614.0,,34346.0,37096.0,,5.0,['Ray Shepardson Presents'],['17.90-4.90'],"['Fox Theater', 'St. Louis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['GRATEFUL DEAD'],['Oct. 17-18'],501602.0,,40909.0,,,2.0,['Monarch Entertainment Bureau'],['13.50/12.50'],"['Byrne Meadowlands Arena', 'East Ruthertord, NJ.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['GRATEFUL DEAD'],['Oct. 20'],395175.0,,31056.0,32000.0,,,['Johin Scher Presents'],['12.50'],"['Carrier Dome', 'Syracuse, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['RUSH'],['Nov. 5-6'],376463.0,,30871.0,,,2.0,['Electric Factory Concerts'],['13.50/11.50/89.50'],"['The Spectrum', 'Y&T Philadelphia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['JULIO IGLESIAS.'],['Sept. 5.'],251670.0,,12720.0,13614.0,,,['Buster Bonoff/John'],['20/17.50'],"['Harttord (Conn.) Civic Center', '& Associates', 'for Pertorming Arts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['ANNE MURRAY'],['Nov. 9-10'],248183.0,,11748.0,,,2.0,['In-House'],"['22,50/20/17.50']","['Radio City Music Hall', 'New York']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
['ROD STEWART'],['Oct. 31'],228977.0,,15265.0,,,1.0,['Avalon Attractions'],['15/12.50'],"['The Forum', 'Inglewood, Calif.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['BUDWEISER SUPERFEST:', 'PEABO BRYSON, KOOL &', 'THE GANG, WHISPERS,', 'MTUME, PATTI LABELLE']",['Nov. 4'],201285.0,,11502.0,19018.0,,,['AH. Enterprises'],['17.50'],"['Capital Centre', 'Landover, Md.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
"['KENNY ROGERS', 'CRYSTAL GAYLE', 'SAWYER BROWN']",['Nov. 1'],200208.0,,12482.0,13235.0,,,"['North American Tours Inc,']",['16.50/13.50'],['Univ. of Dayton (Ohio) Arena'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1984/11/BB-1984-11-24.pdf
