weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,Walden Woods Benefit,"[981, 412, 287, 1085, 312]",788,[],1991-10-21,1991-10-22,Oct 21-22,walden-woods-benefit-madison-square-garden-ray-york-1991-10-21,2903800,,35365,,,1,"[150.0, 100.0, 50.0, 35.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
2,,"[325, 1084, 196]",957,[],1991-09-28,1991-09-28,Sept 28,frank-sinatra-oslo-spectrum-oslo-norway-norwegian-1991-09-28,759215,,6500,,,,"[195.0, 150.0, 100.0, 65.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
3,,[651],775,[],1991-10-25,1991-10-26,Oct 25-26,george-michael-madison-square-garden-new-york-1991-10-25,752685,,23031,,,1,"[35.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
4,,[465],958,[],1991-10-22,1991-10-23,Oct 22-23,paul-simon-sydney-entertainment-centre-1991-10-22,,,,,,,[42.9],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
5,,[24],791,[],1991-10-12,1991-10-12,Oct 12,rod-stewart-florida-suncoast-dome-1991-10-12,535828,,3021,,,1,"[50.0, 21.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
6,,[1081],719,[],1991-10-23,1991-10-27,Oct 23-27,anne-murray-o-keefe-center-1991-10-23,417289,,13986,,,,"[39.0, 823.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
7,,"[287, 618]",709,[],1991-10-05,1991-10-05,Oct 5,sting-shoreline-amphitheatre-1991-10-05,390255,,18629,,,,"[25.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
8,,[24],637,[],1991-10-25,1991-10-25,Oct 25,rod-stewart-starplex-amphitheatre-1991-10-25,377307,,20111,,,1,"[27.5, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
9,,[651],66,[],1991-10-22,1991-10-22,Oct 22,george-michael-maple-leaf-gardens-1991-10-22,364800,,14201,,,,"[35.0, 328.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
10,,"[1083, 1082]",709,[],1991-10-12,1991-10-12,Oct 12,bownie-raitt-shoreline-amphitheatre-1991-10-12,317598,,15188,,,,"[22.5, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1991/11/BB-1991-11-09.pdf
