artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
['LIVE AID JFK'],['July 13'],3552800.0,,89484.0,,,1.0,['Bob Geldof/Bill Graham Presents/'],['50/35'],"['Stadium', 'Philadelphia', 'Factory Concerts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['GRATEFUL DEAD'],"['June 30-', 'July 1']",491439.0,,38394.0,,,2.0,['Monarch Entertainment Bureau'],['l6/1l'],"['Merriweather Post Pavilion', 'Columbia, Md.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['GRATEFUL DEAD'],['June 27'],420208.0,,40100.0,,,1.0,['Monarch Entertainment Bureau'],['17.50-10'],"['Saratoga Springs (N.Y.)', 'Performing Arts Center']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['GRATEFUL DEAD'],['July 13-14'],375000.0,,25000.0,,,2.0,['Avaton Attractions'],['15/13.50'],"['Ventura (Caltf.) County', 'Fairgrounds']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['GRATEFUL DEAD'],['June 28'],295515.0,,21890.0,,,,"['Monarch Entertainment Bureau', '25,000']",['15/13.50'],"['Hersheypark', 'Hershey, Pa.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
"['ERIC CLAPTON', 'GRAHAM PARKER & THE SHOT']",['July 11-14'],261424.0,,16998.0,,,1.0,"['Feyline Presents', '17,908']",['15.95/14.85'],"['Red Rocks Amphitheatre', 'Denver']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['ROBERT PLANT'],"['June 24', '35']",233100.0,,16190.0,,,1.0,['Pace Concerts'],[],"['Reunion Arena', 'Dallas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['NEW YORK FRESH FESTIVAL'],['June 29'],209400.0,,18000.0,,,1.0,['Pace Concerts/CW & Associates.'],['12'],"['Joe Louis Arena', 'Detroit']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['ALABAMA'],['July 6'],171976.0,,30373.0,,,,['Dale Morris & Associates'],[],"['Astrodome', 'Houston v unlimited']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
"['BRYAN ADAMS', 'KIM MITCHELL']",['July 6'],169679.0,,11702.0,,,1.0,['Beaver Prods/Jam Prods.'],['14.50'],['St. Paul (Minn.) Civic Center'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['GRATEFUL DEAD'],['June 25'],167269.0,,15214.0,,,,"['Monarch Entertainment Bureau', '18,773']",['14/11'],"['Blossom Music Festival', 'Cuyahoga Falls, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
"['AL JARREAU', 'DAVID SANBORN']",['July'],,,,,,,"['13,951 Chris Eahiman', '18,773']",['13'],"['Blossom Music Festival', 'Cuyahoga Falls, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
['ROBERT PLANT'],['June 27'],159550.0,,11129.0,,,,"['Pace Concerts', '11,700']",['15'],"['The Omni', 'Atlanta']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/07/BB-1985-07-27.pdf
