weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,[821],176,[],1989-07-21,1989-07-23,July 21-23,the-who-alpine-valley-music-theater-1989-07-21,3146704,,110004,,,1,"[32.5, 25.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
2,,[821],660,[],1989-07-09,1989-07-10,July 9-10,the-who-philadelphia-veterans-stadium-1989-07-09,2279443,,102101,,,1,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
3,,[36],176,[],1989-07-17,1989-07-19,July 17-19,grateful-dead-alpine-valley-music-theater-1989-07-17,1904071,,105671,,,,"[21.5, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
4,,"[828, 438]",233,[],1989-07-07,1989-07-07,July 7,grateful-dead-jfk-stadium-1989-07-07,1527666,,73347,,,,[21.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
5,,[821],661,[],1989-07-16,1989-07-16,July 16,the-who-three-rivers-stadium-1989-07-16,1131000,,45924,,,,[25.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
6,,[117],310,[],1989-07-15,1989-07-17,July 15-17,neil-diamond-met-center-1989-07-15,1023954,,51888,,,1,"[20.0, 18.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
7,,[838],26,[],1989-07-12,1989-07-13,July 12-13,neil-olamond-mcnichols-sports-arena-1989-07-12,698097,,36400,,,1,"[20.35, 19.25]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
8,,"[145, 514]",178,[],1989-07-21,1989-07-22,July 21-22,metallica-meadowlands-arena-1989-07-21,487940,,28670,,,,"[18.5, 17.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
9,,"[399, 839, 805]",662,[],1989-06-30,1989-06-30,June 30,new-order-poplar-creek-music-theatre-1989-06-30,449017,,25751,,,1,"[20.0, 16.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
10,,"[506, 837, 834]",472,[],1989-07-20,1989-07-21,July 20-21,doobie-brothers-jones-beach-theatre-1989-07-20,432248,,19211,,,,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
11,,"[399, 825, 805, 653]",178,[],1989-07-19,1989-07-19,July 19,new-order-meadowlands-arena-1989-07-19,341252,,18646,,,1,"[20.0, 18.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1989/08/BB-1989-08-05.pdf
