artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['PHIL COLLINS & HIS HOT TUB', 'CLUB']",['May 29-30'],451200.0,,30924.0,,,2.0,['Pace Concerts'],['15'],"['Reunion Arena', 'Dallas']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['MADONNA', 'BEASTIE BOYS']",['May 25-26'],332780.0,,24382.0,,,2.0,['Brass Ring Prods.'],['15/12.50'],"['Cobo Arena', 'Detroit']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['PHIL COLLINS & HIS HOT TUB', 'CLUB']",['June 1'],327213.0,,23862.0,,,1.0,['Evening Star Prods.'],['15/13.50'],"['Compton Terrace', 'Phoenix']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
['DIANA ROSS'],['June 1'],284450.0,,16296.0,,,,"['Brass Ring Prods,', '19,590']",['17.50/15'],"['Joe Louis Arena', 'Detroit']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['MADONNA', 'BEASTIE BOYS']",['May 23'],238264.0,297831.0,16000.0,,,1.0,['Concert Prods. International'],[],"['Maple Leaf Gardens', 'Toronto']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
['DARYL HALL & JOHN OATES'],['May 8'],237485.0,,14393.0,,,,"['Ron Delsener/Larry Vaughn', '17,000']","['17,50/15']","['Nassau Coliseum', 'a Uniondale, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['MADONNA', 'BEASTIE BOYS']",['May 29'],237046.0,,15873.0,,,1.0,['The Concert Co.'],['15.50/12.50'],"['The Spectrum', 'Philadelphia']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['MADONNA', 'BEASTIE BOYS']",['May 28'],219210.0,,15600.0,,,1.0,['DiCesare-Engler Prods.'],['15'],['Pittsburgh Civic Arena'],billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
['DIANA ROSS'],['June 2'],198155.0,,11604.0,,,,"['Sunshine Promotions', '15,000']",['17.50'],"['Market Square Arena', 'Indianapolis']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['OAK RIDGE BOYS', 'GEORGE LINDSAY']",['May 25-26'],193996.0,,12123.0,,4.0,,"['Ron Delsener/Larry Vaughn', '12,784']",['17.75/16.50'],"['Front Row Theater', 'Cleveland']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
"['IRON MAIDEN', 'ACCEPT']",['May 24'],193095.0,,13774.0,,,1.0,['Ron Delsener/Larry Vaughn'],['14.50/12.50'],"['Nassau Coliseum', 'Uniondale, N.Y.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1985/06/BB-1985-06-15.pdf
