,Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities Shows,Agency
162,182,5.7,Queens Of The Stone A,,49.61,,"4,628",,
163,133,8.7,Alabam,68.72,"5,062",,"347,854",,
164,183,5.7,Chris Ro,,97.90,,"8,319",,
165,134,8.6,Mannheim Steamrolle,59.42,"2,425",,"144,071",,
166,184,5.7,“90’s Block Party” / G,,78.03,,"5,183",,
167,135,8.6,Xscap,69.47,"10,359",,"719,624",,
168,185,5.7,Los Enanitos Verdes / Hombres,,45.35,,"8,319",,
169,136,8.5,Childish Gambin,96.66,"12,580",,"1,215,996",,
170,186,5.6,Donny & Marie Osmo,,88.47,,560,,
171,137,8.4,Fall Out Bo,50.07,"7,651",,"383,104",,
172,187,5.6,Gwen Stefa,,137.06,,"10,129",,
173,138,8.4,Alan Jackso,59.04,"8,857",,"522,923",,
174,188,5.5,Portugal. The M,,42.83,,"2,875",,
175,139,8.2,Paramor,49.17,"6,447",,"317,010",,
176,189,5.5,Ky,,55.92,,"9,808",,
177,140,7.9,Pepe Aguila,78.61,"6,702",,"526,797",,
178,190,5.4,Deep Purple / Judas Prie,,47.74,,"5,125",,
179,141,7.9,MercyM,37.79,"5,492",,"207,559",,
180,191,5.3,3,,35.71,,"5,720",,
181,142,7.8,Thirty Seconds To Mar,38.37,"6,593",,"252,982",,
182,192,5.2,Frankie Valli And The Four Seaso,,74.68,,"3,172",,
183,143,7.8,Celine Dio,165.73,"3,928",,"651,003",,
184,193,5.1,John Pri,,80.21,,"2,360",,
185,144,7.8,Odesz,44.70,"6,218",,"277,940",,
186,194,5.0,Dave Chappel,,107.73,,"7,766",,
187,145,7.7,Leon Bridge,53.21,"4,848",,"257,986",,
188,195,5.0,Pitbu,,83.54,,"6,001",,
189,146,7.6,Logi,35.84,"10,146",,"363,607",,
190,196,5.0,Stone Temple Pilots / The Cult / Bu,,37.54,,"4,902",,
191,147,7.5,“Winter Jam” / Skille,21.37,"7,695",,"164,430",,
192,197,4.9,Bryan Ada,,64.91,,"7,610",,
193,148,7.5,Counting Crow,38.06,"5,607",,"213,371",,
194,198,4.9,Joe Bonamas,,119.97,,"2,571",,
195,149,7.4,Steve Miller Band / Peter Frampto,61.06,"5,545",,"338,560",,
196,199,4.9,A Perfect Circ,,63.83,,"4,048",,
197,150,7.4,Slaye,45.61,"6,797",,"310,014",,
198,200,4.9,Jason Isbe,,48.24,,"2,651",,
