artists,dates,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,promoter,ticket_prices,location,source_id,schema_id,s3_uri
"['JUAN GABRIEL,', 'BY']","['Jan. 31,', '1-8']",2674519.0,,83769.0,,,,"['Showtime', '(8,189,403,923 89,226,']",[],"['National', 'Auditorium Fed.', 'Mexico City Mexican pesos) nine', 'shows,']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
"['GLORIA ESTEFAN & MIAMI', 'SOUND MACHINE,']",['Feb. 7-8'],1057739.0,,28200.0,,,,"['Ogden Presents', '{3,238,796,818 two Ocesa']",['54/22/'],"['Palacio De Los', 'Deportes', '(Sports Palace) Mexican pesos) setiouts', 'Mexico City']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['EDL DIAMOND'],['Feb. 4-5'],943474.0,,38368.0,,,,['Ogden Presents'],['25/19.50/'],"['Richfield', 'Coliseum', 'Ohio sellouts']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['ROD STEWART'],['Feb. 1-2'],870863.0,,33468.0,,,1.0,['Cellar Door Prods.'],"['50/335/', '22.50/']","['Palace of', 'Auburn Hills', 'Belkin Prods.', 'Auburn Hills,', 'Mich.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['ROD STEWART'],['Feb. 9-10'],626616.0,,20573.0,,,,"['PARC', '21,106, Presentations']","['50/27.50/', '18.50/']","['Los Angeles', 'Sports Arena', 'Los Angeles', 'shows, one', 'Organization', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['DIRE STRAITS:'],['Feb. 7-8'],588665.0,,2331.0,,,,"['PARC', '23313, Presentations']",['40/325/'],"['Great Western', 'Forum', 'Inglewood, Calif. two Nederlander', 'shows, one', 'Organization', 'sellout']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['NEIL DIAMOND'],['Feb. 7-8'],567629.0,,23697.0,,,,['Ogden Presents'],['25/19.50/'],"['Ervin J. Nutter', 'Center', 'State sellouts', 'Univ.', 'Dayton, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
"['VAN HALEN', 'ALICE IN CHAINS:']",['Jan. 22'],373689.0,,17005.0,,,1.0,['Bauer/Kinnear'],['24.50/22.50/'],"['Tacoma Dome', 'Tacoma, Wash.']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
['ROO STEWART'],['Jan. 15'],341135.0,,14457.0,,,1.0,['Belkin Prods.'],['40/22.50/'],"['Richtielé', 'Coliseum', 'Richfield, Ohio']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
"['GAC TRUCK AMERICAN', 'MUSIC TOUR:', 'RANDY TRAVIS', 'ALAN JACKSON', 'TRISHA YEARWOOO']",['Feb. 14'],334757.0,,17167.0,,,1.0,['Special Moments'],['19.50/'],"['Palace of', 'Auburn Hills', 'Auburn Hills, Glass Palace', 'Mich. Promotions']",billboard,bb_3,music-industry-data-lakeraw/billboard/pdf/magazines/1992/02/Billboard-1992-02-29.pdf
