weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[1072, 1139]",823,[],1992-02-21,1992-02-22,Feb 21-22,cunt-black-astrodome-houston-rodeo-i-1992-02-21,,,,,3,,"[32.0, 310.0, 85.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
2,,[117],564,[],1992-02-10,1992-02-12,Feb 10-12,neil-diamond-palace-1992-02-10,,,,,,,"[25.0, 19.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
3,,[1138],824,[],,,,neil-diamond-mecca-feb-milwaukee-None,,,,,,,"[25.0, 519.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
4,,"[1137, 1139]",828,[],1992-02-20,1992-02-20,Feb 20,rebamcentire-astrodome-houston-rodeo-1992-02-20,,,,,,1,"[12.0, 510.0, 85.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
5,,"[1141, 1068, 1139]",975,[],1992-02-23,1992-02-23,Feb 23,lamafia-astrodome-houston-livestock-houston-&-rodeo-1992-02-23,573133,,,,,1,"[12.0, 510.0, 85.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
6,,"[1136, 1142, 1139]",691,[],1992-02-17,1992-02-17,Feb 17,travis-trett-astrodome-houston-1992-02-17,521964,,50973,,,,[12.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
7,,"[962, 137, 181, 277, 952, 1139]",976,[],1992-02-16,1992-02-16,Feb 16,the-highwaymen-houston-&-rodeo-1992-02-16,519803,,50762,,,1,"[12.0, 10.0, 35.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
8,,"[14, 1139]",691,[],1992-02-23,1992-02-23,Feb 23,alabama-astrodome-houston-1992-02-23,511836,,49984,,,,[12.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
9,,"[276, 1143]",55,[],1992-02-13,1992-02-09,Feb 13-15 17-19,neil-young-beacon-theatre-1992-02-13,,,,,,,[30.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
10,,"[1001, 1140, 358]",162,[],1992-02-12,1992-02-16,Feb 12-16,steve-lawrence-edie-sunrise-musical-theatre-1992-02-12,440209,,17999,,,,[25.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-07.pdf
