weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[60, 1139]",828,[],1992-02-25,1992-02-26,Feb 25-26,george-strait-astrodome-houston-rodeo-1992-02-25,1192868,,116491,,2,,"[12.0, 10.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
2,,[779],977,[],1992-02-12,1992-02-13,Feb 12-13,wetallica-great-western-forum-seltouts-1992-02-12,860369,,32098,,,,[22.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
3,,"[1144, 425]",828,[],1992-02-28,1992-02-28,Feb 28,wance-gill-astrodome-houston-rodeo-1992-02-28,577290,,56376,,,1,"[12.0, 10.0, 85.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
4,,"[575, 1145, 1139]",828,[],1992-02-29,1992-02-29,Feb 29,ricky-van-shelton-astrodome-houston-rodeo-1992-02-29,,,,,,1,"[12.0, 10.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
5,,"[158, 990]",828,[],1992-03-01,1992-03-01,March 1,hank-williams-jr-astrodome-houston-rodeo-1992-03-01,543728,,,,,1,"[12.0, 10.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
6,,"[19, 1019, 1139]",828,[],1992-02-29,1992-02-29,Feb 29,patti-labelle-astrodome-houston-rodeo-1992-02-29,515871,,50378,,,1,"[12.0, 10.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
7,,"[1135, 1139]",828,[],1992-02-27,1992-02-27,Feb 27,alan-jackson-astrodome-houston-rodeo-1992-02-27,513075,,50105,,57311,,"[12.0, 510.0, 5.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
8,,[1130],978,[],1992-02-18,1992-02-20,Feb 18 20,john-mellencamp-great-western-forum-1992-02-18,,,,,,,[23.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
9,,[291],775,[],1992-02-26,1992-02-26,Feb 26,dire-straits-madison-square-garden-new-york-1992-02-26,,,,,,1,"[35.0, 25.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
10,,"[1041, 1097]",39,[],1992-02-21,1992-02-21,Feb 21,michael-bolton-san-diego-sports-arena-1992-02-21,,,,,,,[],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1992/03/Billboard-1992-03-14.pdf
