weekly_rank,event_name,artist_ids,venue_id,promoters,start_date,end_date,dates,signature,gross_receipts_us,gross_receipts_canadian,attendance,capacity,num_shows,num_sellouts,ticket_prices,schema_id,source_id,s3_uri
1,,"[61, 73]",63,[],1984-11-04,1984-11-12,"Nov 4-5,7-9 11-12",prince-joe-louis-arena-1984-11-04,2081719,,,,,,[17.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
2,,"[52, 75]",32,[],1984-11-12,1984-11-12,Nov 12,culture-club-byrne-meadowlands-arena-1984-11-12,266075,,,,,,"[17.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
3,,"[2, 17]",3,[],1984-11-15,1984-11-15,Nov 15,rick-springfield-reunion-arena-1984-11-15,232000,,,,,1,[14.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
4,,"[52, 70]",37,[],1984-11-11,1984-11-11,Nov 11,culture-club-capital-centre-1984-11-11,216736,,,19114,,,[15.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
5,,"[59, 85]",6,[],1984-11-18,1984-11-18,Nov 18,rick-springfiled-frank-erwin-center-1984-11-18,210901,,,,,1,"[13.0, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
6,,"[87, 71]",64,[],1984-11-10,1984-11-11,Nov 10-11,bill-cosby-riverside-theater-1984-11-10,202143,,,,,,"[19.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
7,,"[52, 92]",35,[],1984-11-13,1984-11-13,Nov 13,culture-club-hartford-civic-center-1984-11-13,178178,,,,,,"[16.5, 14.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
8,,[24],65,[],1984-11-07,1984-11-07,Nov 7,rod-stewart-thomas-&-mack-center-1984-11-07,166762,,,10000,,,"[17.5, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
9,,"[68, 79]",66,[],1984-11-12,1984-11-12,Nov 12,cyndi-lauper-maple-leaf-gardens-1984-11-12,166353,207942,,,,1,"[16.5, 15.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
10,Swatch Watch: New York City Fresh Festival,[],67,[],1984-11-09,1984-11-09,Nov 9,swatch-watch-new-york-city-fresh-festival-baltimore-civic-center-1984-11-09,145068,,,,,,[11.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
11,,"[26, 81]",46,[],1984-11-04,1984-11-04,Nov 4,oak-ridge-boys-salt-palace-1984-11-04,138815,,,12000,,,"[15.0, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
12,,"[2, 17]",17,[],1984-11-17,1984-11-17,Nov 17,rick-springfield-barton-coliseum-1984-11-17,130000,,,,,1,[13.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
13,,"[3, 42]",68,[],1984-11-16,1984-11-16,Nov 16,chicago-tallahassee-leon-county-civic-center-1984-11-16,128966,,,17500,,,"[13.5, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
14,,"[89, 65, 94]",69,[],1984-11-18,1984-11-18,Nov 18,reo-speedwagon-omaha-civic-auditorium-1984-11-18,124457,,10000,,,,"[13.75, 12.75]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
15,,"[2, 17]",70,[],1984-11-12,1984-11-12,Nov 12,rick-springfield-tulsa-assembly-center-1984-11-12,121392,,,,,1,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
16,,"[2, 17]",71,[],1984-11-14,1984-11-14,Nov 14,rick-springfield-ector-country-coliseum-1984-11-14,114750,,,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
17,,"[2, 17]",72,[],1984-11-13,1984-11-13,Nov 13,rick-springfield-amarillo-civic-center-1984-11-13,105975,,,,,1,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
18,,"[3, 42]",73,[],1984-11-15,1984-11-15,Nov 15,chicago-jacksonville-civic-auditorium-1984-11-15,103963,,,10276,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
19,,"[26, 81]",74,[],1984-11-03,1984-11-03,Nov 3,oak-ridge-boys-boise-state-univ-pavilion-1984-11-03,100909,,8621,12046,,,"[12.5, 10.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
20,,[46],75,[],1984-11-15,1984-11-15,Nov 15,crosby-stills-nash-activity-center-1984-11-15,98640,,,8186,,,"[15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
21,,"[52, 72]",76,[],1984-11-03,1984-11-03,Nov 3,culture-club-univ-of-tennessee-at-chattanooga-arena-1984-11-03,89704,,5867,11765,,,"[16.0, 13.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
22,,"[22, 4, 63]",77,[],1984-11-07,1984-11-07,Nov 7,quiet-riot-winnipeg-arena-1984-11-07,86574,108218,,12000,,,[12.73],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
23,,"[26, 81]",78,[],1984-11-02,1984-11-02,Nov 2,oak-ridge-boys-spokane-coliseum-1984-11-02,82216,,,,,,"[13.5, 11.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
24,,"[54, 45]",37,[],1984-11-06,1984-11-06,Nov 6,ronnie-james-dio-capital-centre-1984-11-06,81950,,,13951,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
25,,"[31, 29]",79,[],1984-11-13,1984-11-13,Nov 13,sammy-hagar-louisville-gardens-1984-11-13,79512,,,6850,,,[12.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
26,,[46],80,[],1984-11-12,1984-11-12,Nov 12,crosby-stills-nash-tinsley-arena-1984-11-12,75190,,,12656,,,"[15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
27,,[91],81,[],1984-11-10,1984-11-10,Nov 10,dan-fogelberg-stabler-arena-1984-11-10,70983,,,,,,[13.5],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
28,,[93],82,[],1984-11-10,1984-11-10,Nov 10,rickie-lee-jones-bismarck-auditorium-1984-11-10,61725,,,4346,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
29,,[62],83,[],1984-11-10,1984-11-10,Nov 10,menudo-james-l-knight-international-center-1984-11-10,59420,,4391,,,,"[15.0, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
30,,[93],84,[],1984-11-17,1984-11-17,Nov 17,rickie-lee-jones-northrup-arena-1984-11-17,58040,,,4866,,,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
31,,[78],64,[],1984-11-03,1984-11-03,Nov 3,sheena-easton-riverside-theater-1984-11-03,52835,,,,,1,"[18.0, 12.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
32,,"[77, 90]",81,[],1984-11-15,1984-11-15,Nov 15,kiss-stabler-arena-1984-11-15,49346,,,6000,,,[1.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
33,,[95],85,[],1984-11-17,1984-11-17,Nov 17,frank-zappa-syria-mosque-pittsburgh-1984-11-17,49028,,,,,1,[13.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
34,,[76],86,[],1984-11-13,1984-11-13,Nov 13,general-public-bing-crosby-hall-1984-11-13,48432,,,,,1,"[13.0, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
35,,[64],87,[],1984-11-03,1984-11-04,Nov 3-4,frankie-goes-to-hollywood-the-concert-hall-1984-11-03,43200,54000,,,,,[15.0],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
36,Guitar Greats,"[82, 86, 83, 80, 96, 88, 58, 66, 69]",88,[],1984-11-03,1984-11-03,Nov 3,guitar-greats-capital-theater-1984-11-03,41809,,,,,1,"[15.0, 15.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
37,,[74],89,[],1984-11-17,1984-11-17,Nov 17,jerry-garcia-orpheum-theater-1984-11-17,36938,,,,,1,"[13.5, 12.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
38,,[78],90,[],1984-11-14,1984-11-14,Nov 14,sheena-easton-opera-house-1984-11-14,31175,,,2517,,,[12.75],bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
39,,"[60, 67]",91,[],1984-11-16,1984-11-16,Nov 16,george-strait-civic-auditorium-1984-11-16,31040,,3200,,,2,"[12.0, 10.0]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
40,,[84],89,[],1984-11-14,1984-11-14,Nov 14,the-cure-orpheum-theater-1984-11-14,30318,,,2800,,,"[12.5, 11.5]",bb_3,1,music-industry-data-lakeraw/billboard/pdf/magazines/1984/12/BB-1984-12-01.pdf
